family,config_id,method,method_label,threshold_mode,threshold_range,gain_scheme,pop,n,step_ratio,pattern,tune_objective,tune_mean_R,P_gain,I_gain,D_gain,eta,Thresh_increase,Thresh_decrease,Agent_pid_p_spread,Agent_pid_i_spread,Agent_pid_d_spread,source_row
LFTA,TD1_PID0,TD1_PID0,LFTA-HM,clamped,HM,,500,4,2.0,scurve,419.6366689,419.6366689,,,,,0.018033261931808663,0.057598676804396766,,,,"{""Thresh_decrease"": ""0.057598676804396766"", ""Thresh_increase"": ""0.018033261931808663"", ""m"": ""4"", ""method"": ""TD1_PID0"", ""method_label"": ""LFTA-HM"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""31"", ""tune_mean_post"": ""419.6366689"", ""tune_objective"": ""419.6366689"", ""tune_sd_post"": ""0.44600694168765653"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
LFTA,TD2_PID0,TD2_PID0,LFTA-HT1,clamped,HT1,,500,4,2.0,scurve,422.34115075,422.34115075,,,,,0.0225293194387338,0.00971834366632182,,,,"{""Thresh_decrease"": ""0.00971834366632182"", ""Thresh_increase"": ""0.0225293194387338"", ""m"": ""4"", ""method"": ""TD2_PID0"", ""method_label"": ""LFTA-HT1"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""72"", ""tune_mean_post"": ""422.34115075"", ""tune_objective"": ""422.34115075"", ""tune_sd_post"": ""0.3218966350437868"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
LFTA,TD3_PID0,TD3_PID0,LFTA-HT2,clamped,HT2,,500,4,2.0,scurve,422.4563393,422.4563393,,,,,0.011715061720156595,0.016132272000148006,,,,"{""Thresh_decrease"": ""0.016132272000148006"", ""Thresh_increase"": ""0.011715061720156595"", ""m"": ""4"", ""method"": ""TD3_PID0"", ""method_label"": ""LFTA-HT2"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""32"", ""tune_mean_post"": ""422.4563393"", ""tune_objective"": ""422.4563393"", ""tune_sd_post"": ""0.35349071231051993"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
SBTA,SBTA_HM,SBTA_HM,SBTA-HM,clamped,HM,,500,4,2.0,scurve,420.98375875,420.98375875,0.01679342044294641,0.0,0.0,0.01679342044294641,,,,,,"{""D_gain"": ""0.0"", ""I_gain"": ""0.0"", ""P_gain"": ""0.01679342044294641"", ""eta"": ""0.01679342044294641"", ""method"": ""SBTA_HM"", ""method_label"": ""SBTA-HM"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""58"", ""tune_mean_post"": ""420.98375875"", ""tune_objective"": ""420.98375875"", ""tune_sd_post"": ""0.4200833382314452"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
SBTA,SBTA_HT1,SBTA_HT1,SBTA-HT1,clamped,HT1,,500,4,2.0,scurve,422.72351045,422.72351045,0.006354256190641675,0.0,0.0,0.006354256190641675,,,,,,"{""D_gain"": ""0.0"", ""I_gain"": ""0.0"", ""P_gain"": ""0.006354256190641675"", ""eta"": ""0.006354256190641675"", ""method"": ""SBTA_HT1"", ""method_label"": ""SBTA-HT1"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""82"", ""tune_mean_post"": ""422.72351045"", ""tune_objective"": ""422.72351045"", ""tune_sd_post"": ""0.29648214286290486"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
SBTA,SBTA_HT2,SBTA_HT2,SBTA-HT2,clamped,HT2,,500,4,2.0,scurve,422.9073794,422.9073794,0.005835187859014266,0.0,0.0,0.005835187859014266,,,,,,"{""D_gain"": ""0.0"", ""I_gain"": ""0.0"", ""P_gain"": ""0.005835187859014266"", ""eta"": ""0.005835187859014266"", ""method"": ""SBTA_HT2"", ""method_label"": ""SBTA-HT2"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""73"", ""tune_mean_post"": ""422.9073794"", ""tune_objective"": ""422.9073794"", ""tune_sd_post"": ""0.33593649887400884"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
SETA,SETA_HM,SETA_HM,SETA-HM,clamped,HM,,500,4,2.0,scurve,420.16964385,420.16964385,0.0014615327313560653,0.0,0.0,0.0014615327313560653,,,,,,"{""D_gain"": ""0.0"", ""I_gain"": ""0.0"", ""P_gain"": ""0.0014615327313560653"", ""eta"": ""0.0014615327313560653"", ""method"": ""SETA_HM"", ""method_label"": ""SETA-HM"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""51"", ""tune_mean_post"": ""420.16964385"", ""tune_objective"": ""420.16964385"", ""tune_sd_post"": ""0.3771160060476018"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
SETA,SETA_HT1,SETA_HT1,SETA-HT1,clamped,HT1,,500,4,2.0,scurve,422.8364742,422.8364742,0.0015906096325041723,0.0,0.0,0.0015906096325041723,,,,,,"{""D_gain"": ""0.0"", ""I_gain"": ""0.0"", ""P_gain"": ""0.0015906096325041723"", ""eta"": ""0.0015906096325041723"", ""method"": ""SETA_HT1"", ""method_label"": ""SETA-HT1"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""81"", ""tune_mean_post"": ""422.8364742"", ""tune_objective"": ""422.8364742"", ""tune_sd_post"": ""0.2935763003645667"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
SETA,SETA_HT2,SETA_HT2,SETA-HT2,clamped,HT2,,500,4,2.0,scurve,422.8835461,422.8835461,0.0008956571688776524,0.0,0.0,0.0008956571688776524,,,,,,"{""D_gain"": ""0.0"", ""I_gain"": ""0.0"", ""P_gain"": ""0.0008956571688776524"", ""eta"": ""0.0008956571688776524"", ""method"": ""SETA_HT2"", ""method_label"": ""SETA-HT2"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""30"", ""tune_mean_post"": ""422.8835461"", ""tune_objective"": ""422.8835461"", ""tune_sd_post"": ""0.3187639468326083"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
SETA,SETA_HM,SETA_HM,SETA-HM,latent,HM,,500,4,2.0,scurve,418.56545905,418.56545905,0.012641157109958737,0.0,0.0,0.012641157109958737,,,,,,"{""D_gain"": ""0.0"", ""I_gain"": ""0.0"", ""P_gain"": ""0.012641157109958737"", ""eta"": ""0.012641157109958737"", ""method"": ""SETA_HM"", ""method_label"": ""SETA-HM"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""11"", ""tune_mean_post"": ""418.56545905"", ""tune_objective"": ""418.56545905"", ""tune_sd_post"": ""0.3308821290702308"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
