pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,kill_percent,config,repetitions,R,R_abs,R2_norm,R2_max_norm,post_removal_R,post_removal_R_abs,post_removal_R2_norm,post_removal_R2_max_norm
50,4,1.5,random,CT,HM,clamped,,0,CT-HM,100,1.31420955,161.87251767,1.46978679,3.1480901899999996,1.3138632000000001,242.38948617999998,1.4687128,3.06456882
50,4,1.5,random,CT,HM,clamped,,5,CT-HM,100,1.34377245,163.34881875,1.5017233300000001,3.25565954,1.372989,245.34208848999998,1.5325859,3.22979466
50,4,1.5,random,CT,HM,clamped,,10,CT-HM,100,1.3921741499999998,165.69537051999998,1.55437972,3.5201577900000003,1.4697924,250.03519211,1.63789862,3.5193589
50,4,1.5,random,CT,HM,clamped,,20,CT-HM,100,1.4770929000000002,169.39061912,1.64706602,4.0890267499999995,1.6396298999999999,257.42568918,1.8232713,4.0890267499999995
50,4,1.5,random,CT,HM,clamped,,30,CT-HM,100,1.5774775500000002,173.14999840000002,1.7566728800000002,4.79570729,1.8403992,264.94444764,2.04248499,4.79570729
50,4,1.5,random,CT,HM,clamped,,40,CT-HM,100,1.7013933,177.17632016,1.89166274,5.73114821,2.0882307,272.99709125000004,2.31246469,5.73114821
50,4,1.5,random,CT,HM,clamped,,50,CT-HM,100,1.85984115,181.35844537,2.06437838,7.08341464,2.4051264,281.36134156,2.65789611,7.08341464
50,4,1.5,random,CT,HT1,clamped,,0,CT-HT1,100,1.7377968000000001,216.5909606,1.86170572,3.06227876,1.7428587,324.2586531,1.86549702,3.03320759
50,4,1.5,random,CT,HT1,clamped,,5,CT-HT1,100,1.7539529999999999,217.40212048,1.8828159299999998,3.1372409,1.7751711000000001,325.88097303,1.9077173600000001,3.1300109500000004
50,4,1.5,random,CT,HT1,clamped,,10,CT-HT1,100,1.7811445499999998,218.5513563,1.91643602,3.3093778200000004,1.8295542,328.17944454999997,1.97495751,3.30914505
50,4,1.5,random,CT,HT1,clamped,,20,CT-HT1,100,1.8385167000000002,220.51815743,1.98211454,3.6991317099999996,1.9442985,332.11304688999996,2.10631464,3.6991317099999996
50,4,1.5,random,CT,HT1,clamped,,30,CT-HT1,100,1.9156532999999998,222.73895013,2.06721963,4.29419342,2.0985717,336.55463227,2.27652475,4.29419342
50,4,1.5,random,CT,HT1,clamped,,40,CT-HT1,100,2.01498975,225.13489771000002,2.1756350700000002,5.258909200000001,2.2972446,341.34652745,2.49335573,5.258909200000001
50,4,1.5,random,CT,HT1,clamped,,50,CT-HT1,100,2.14231395,227.69756792,2.31463801,6.71053995,2.551893,346.47186780000004,2.77136144,6.71053995
50,4,1.5,random,CT,HT2,clamped,,0,CT-HT2,100,1.5696171,194.51687953,1.6869261199999999,3.09065557,1.5743331,291.2561058,1.69074921,3.04421068
50,4,1.5,random,CT,HT2,clamped,,5,CT-HT2,100,1.59130425,195.56169986,1.71225033,3.1872246,1.6177073999999998,293.34574634,1.7413977600000001,3.1752070800000003
50,4,1.5,random,CT,HT2,clamped,,10,CT-HT2,100,1.6258215,197.08552815,1.75216183,3.4070604600000003,1.6867419000000001,296.39340294,1.8212206100000001,3.4070604600000003
50,4,1.5,random,CT,HT2,clamped,,20,CT-HT2,100,1.6947019499999998,199.75839561,1.83061348,3.90130043,1.8245027999999999,301.73913794,1.9781238700000001,3.90130043
50,4,1.5,random,CT,HT2,clamped,,30,CT-HT2,100,1.77822315,202.56522159,1.92440662,4.54189145,1.9915452,307.35278981,2.1657102900000003,4.54189145
50,4,1.5,random,CT,HT2,clamped,,40,CT-HT2,100,1.882071,205.50516445000002,2.03998575,5.46549458,2.1992409,313.23267567,2.39686843,5.46549458
50,4,1.5,random,CT,HT2,clamped,,50,CT-HT2,100,2.01747375,208.64171129,2.18951503,6.84859288,2.4700463999999998,319.50576924,2.69592699,6.84859288
50,4,1.5,random,LFTA,HM,clamped,,0,LFTA-HM,100,1.4006568,86.26717709,1.6147877700000002,5.41917635,1.4677188,119.58675246000001,1.6908400000000001,5.41591221
50,4,1.5,random,LFTA,HM,clamped,,5,LFTA-HM,100,1.4267208,88.98814845999999,1.6463028499999999,5.5273806400000005,1.5198468,125.02869518,1.7538700299999999,5.522597060000001
50,4,1.5,random,LFTA,HM,clamped,,10,LFTA-HM,100,1.4703169500000002,93.38505812,1.6994040899999998,5.700050790000001,1.6070391000000002,133.82251446,1.86007249,5.6990333
50,4,1.5,random,LFTA,HM,clamped,,20,LFTA-HM,100,1.55461485,100.58643131000001,1.8001599400000001,6.02807121,1.7756349,148.22526089000002,2.0615840199999997,6.02807121
50,4,1.5,random,LFTA,HM,clamped,,30,LFTA-HM,100,1.6632834,107.9574862,1.9246318400000002,6.47940558,1.992972,162.96737072,2.31052789,6.47940558
50,4,1.5,random,LFTA,HM,clamped,,40,LFTA-HM,100,1.80628455,115.24824067,2.08564333,7.3059053700000005,2.2789743000000002,177.54887958,2.6325509599999997,7.3059053700000005
50,4,1.5,random,LFTA,HM,clamped,,50,LFTA-HM,100,1.9904325,122.73006044,2.2884877599999998,8.444716190000001,2.6472702,192.51251921,3.03823977,8.444716190000001
50,4,1.5,random,LFTA,HT1,clamped,,0,LFTA-HT1,100,2.0583366,232.21739434,2.25357348,4.37457903,2.1613446,349.61200475,2.37451111,4.373618179999999
50,4,1.5,random,LFTA,HT1,clamped,,5,LFTA-HT1,100,2.0836206,232.8693732,2.2806154000000003,4.50022475,2.2119126,350.91596250000003,2.42859507,4.49966566
50,4,1.5,random,LFTA,HT1,clamped,,10,LFTA-HT1,100,2.12664645,233.99899793,2.32631178,4.71217688,2.2979643000000003,353.17521197,2.51998773,4.71217688
50,4,1.5,random,LFTA,HT1,clamped,,20,LFTA-HT1,100,2.2070037,235.91620911,2.41120003,5.14101928,2.4586788,357.00963434,2.6897642999999998,5.14101928
50,4,1.5,random,LFTA,HT1,clamped,,30,LFTA-HT1,100,2.2952769,237.81102716,2.5050982200000003,5.653823989999999,2.6352252,360.79927046999995,2.8775606799999998,5.653823989999999
50,4,1.5,random,LFTA,HT1,clamped,,40,LFTA-HT1,100,2.4051708,239.88498594,2.62318935,6.48875529,2.855013,364.94718798,3.1137428099999997,6.48875529
50,4,1.5,random,LFTA,HT1,clamped,,50,LFTA-HT1,100,2.54235465,242.14662327,2.77141589,7.79881838,3.1293807,369.47046261,3.4101960000000004,7.79881838
50,4,1.5,random,LFTA,HT2,clamped,,0,LFTA-HT2,100,1.5479196,188.50232918999998,1.72367023,3.60335326,1.5468468,281.21785239,1.74091821,3.5970244000000005
50,4,1.5,random,LFTA,HT2,clamped,,5,LFTA-HT2,100,1.5773894999999998,189.75143515,1.75527253,3.75743902,1.6057865999999998,283.71606435999996,1.80412277,3.7558193899999996
50,4,1.5,random,LFTA,HT2,clamped,,10,LFTA-HT2,100,1.62284445,191.56420085000002,1.80397884,4.0098848600000006,1.6966964999999998,287.34159568,1.9015355500000002,4.0098848600000006
50,4,1.5,random,LFTA,HT2,clamped,,20,LFTA-HT2,100,1.705197,194.63590913,1.8926722900000001,4.48565833,1.8614016,293.48501237,2.07892235,4.48565833
50,4,1.5,random,LFTA,HT2,clamped,,30,LFTA-HT2,100,1.80407475,197.916489,1.9990551300000001,5.11682124,2.0591570999999997,300.04617197,2.29168783,5.11682124
50,4,1.5,random,LFTA,HT2,clamped,,40,LFTA-HT2,100,1.92159705,201.14795404,2.12604198,6.00139901,2.2942017000000003,306.5091021,2.54566174,6.00139901
50,4,1.5,random,LFTA,HT2,clamped,,50,LFTA-HT2,100,2.07319365,204.73441731,2.2897830999999997,7.3000042700000005,2.5973949,313.68202867,2.87314377,7.3000042700000005
50,4,1.5,random,PTA,HM,clamped,Agent,0,PTA-HM-clamped-Agent,100,1.2472017,154.71304156,1.37385446,2.68079551,1.2594237,232.38035451,1.3810792699999999,2.6028062
50,4,1.5,random,PTA,HM,clamped,Agent,5,PTA-HM-clamped-Agent,100,1.27272615,156.12613262000002,1.4017578,2.79683288,1.3104726,235.20653658,1.4368857800000001,2.7699902100000005
50,4,1.5,random,PTA,HM,clamped,Agent,10,PTA-HM-clamped-Agent,100,1.3145139000000001,158.34182365,1.4479681,3.043644,1.3940481,239.63791858000002,1.52930651,3.0420293500000004
50,4,1.5,random,PTA,HM,clamped,Agent,20,PTA-HM-clamped-Agent,100,1.39349805,162.0617209,1.5352438499999999,3.58975209,1.5520164,247.07771315999997,1.7038579999999999,3.58975209
50,4,1.5,random,PTA,HM,clamped,Agent,30,PTA-HM-clamped-Agent,100,1.48338165,165.76652268,1.63393425,4.2680977,1.7317836,254.48731656,1.90123883,4.2680977
50,4,1.5,random,PTA,HM,clamped,Agent,40,PTA-HM-clamped-Agent,100,1.6001631,169.87847226000002,1.7614565400000002,5.23398756,1.9653464999999999,262.71121585000003,2.1562833699999997,5.23398756
50,4,1.5,random,PTA,HM,clamped,Agent,50,PTA-HM-clamped-Agent,100,1.7494966500000002,174.17021614,1.92418702,6.6485582,2.2640136,271.29470354,2.48174415,6.6485582
50,4,1.5,random,PTA,HM,clamped,Global,0,PTA-HM-clamped-Global,100,1.2474380999999999,154.88766232,1.37865985,2.72560021,1.2564495,232.42428500999998,1.38285139,2.64191395
50,4,1.5,random,PTA,HM,clamped,Global,5,PTA-HM-clamped-Global,100,1.2754104,156.43994102,1.4093347,2.84009323,1.3123941,235.52884232,1.4442008999999998,2.8160391700000003
50,4,1.5,random,PTA,HM,clamped,Global,10,PTA-HM-clamped-Global,100,1.31936265,158.67191623,1.4570393899999998,3.08049831,1.4002986000000002,239.9927928,1.5396104800000001,3.0777729
50,4,1.5,random,PTA,HM,clamped,Global,20,PTA-HM-clamped-Global,100,1.4003073000000001,162.49956089,1.54653103,3.66492091,1.5621879,247.64808201,1.71859351,3.66492091
50,4,1.5,random,PTA,HM,clamped,Global,30,PTA-HM-clamped-Global,100,1.4967082500000002,166.47518965,1.65191713,4.33376542,1.7549898,255.59933958000002,1.92936581,4.33376542
50,4,1.5,random,PTA,HM,clamped,Global,40,PTA-HM-clamped-Global,100,1.6122975,170.52225929,1.77805257,5.26313298,1.9861682999999999,263.69347896,2.1816366300000003,5.26313298
50,4,1.5,random,PTA,HM,clamped,Global,50,PTA-HM-clamped-Global,100,1.7615886,174.69410091999998,1.94136032,6.65847881,2.2847505,272.03716217,2.50825217,6.65847881
