pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,kill_percent,config,repetitions,R,R_abs,R2_norm,R2_max_norm,post_removal_R,post_removal_R_abs,post_removal_R2_norm,post_removal_R2_max_norm,comparator_post_removal_R,comparator_post_removal_R_abs,comparator,post_removal_R_reduction_percent,post_removal_R_pta_lower,post_removal_R_abs_reduction_percent,post_removal_R_abs_pta_lower
50,4,1.5,random,PTA,HM,clamped,Agent,0,PTA-HM-clamped-Agent,100,1.2472017,154.71304156,1.37385446,2.68079551,1.2594237,232.38035451,1.3810792699999999,2.6028062,1.3138632000000001,242.38948617999998,CT,4.143467904421117,True,4.129358838017893,True
50,4,1.5,random,PTA,HM,clamped,Agent,5,PTA-HM-clamped-Agent,100,1.27272615,156.12613262000002,1.4017578,2.79683288,1.3104726,235.20653658,1.4368857800000001,2.7699902100000005,1.372989,245.34208848999998,CT,4.553306690730952,True,4.131191664822353,True
50,4,1.5,random,PTA,HM,clamped,Agent,10,PTA-HM-clamped-Agent,100,1.3145139000000001,158.34182365,1.4479681,3.043644,1.3940481,239.63791858000002,1.52930651,3.0420293500000004,1.4697924,250.03519211,CT,5.15340125585082,True,4.158324051210283,True
50,4,1.5,random,PTA,HM,clamped,Agent,20,PTA-HM-clamped-Agent,100,1.39349805,162.0617209,1.5352438499999999,3.58975209,1.5520164,247.07771315999997,1.7038579999999999,3.58975209,1.6396298999999999,257.42568918,CT,5.34349245521808,True,4.0197915184620125,True
50,4,1.5,random,PTA,HM,clamped,Agent,30,PTA-HM-clamped-Agent,100,1.48338165,165.76652268,1.63393425,4.2680977,1.7317836,254.48731656,1.90123883,4.2680977,1.8403992,264.94444764,CT,5.901741317861909,True,3.946914597813689,True
50,4,1.5,random,PTA,HM,clamped,Agent,40,PTA-HM-clamped-Agent,100,1.6001631,169.87847226000002,1.7614565400000002,5.23398756,1.9653464999999999,262.71121585000003,2.1562833699999997,5.23398756,2.0882307,272.99709125000004,CT,5.884608439096317,True,3.767760071326409,True
50,4,1.5,random,PTA,HM,clamped,Agent,50,PTA-HM-clamped-Agent,100,1.7494966500000002,174.17021614,1.92418702,6.6485582,2.2640136,271.29470354,2.48174415,6.6485582,2.4051264,281.36134156,CT,5.8671677297292835,True,3.5778326774338787,True
50,4,1.5,random,PTA,HM,clamped,Global,0,PTA-HM-clamped-Global,100,1.2474380999999999,154.88766232,1.37865985,2.72560021,1.2564495,232.42428500999998,1.38285139,2.64191395,1.3138632000000001,242.38948617999998,CT,4.3698385037346466,True,4.111234908349026,True
50,4,1.5,random,PTA,HM,clamped,Global,5,PTA-HM-clamped-Global,100,1.2754104,156.43994102,1.4093347,2.84009323,1.3123941,235.52884232,1.4442008999999998,2.8160391700000003,1.372989,245.34208848999998,CT,4.413356552747338,True,3.999821730709674,True
50,4,1.5,random,PTA,HM,clamped,Global,10,PTA-HM-clamped-Global,100,1.31936265,158.67191623,1.4570393899999998,3.08049831,1.4002986000000002,239.9927928,1.5396104800000001,3.0777729,1.4697924,250.03519211,CT,4.7281371165070585,True,4.016394342433993,True
50,4,1.5,random,PTA,HM,clamped,Global,20,PTA-HM-clamped-Global,100,1.4003073000000001,162.49956089,1.54653103,3.66492091,1.5621879,247.64808201,1.71859351,3.66492091,1.6396298999999999,257.42568918,CT,4.723139044975932,True,3.798225111544018,True
50,4,1.5,random,PTA,HM,clamped,Global,30,PTA-HM-clamped-Global,100,1.4967082500000002,166.47518965,1.65191713,4.33376542,1.7549898,255.59933958000002,1.92936581,4.33376542,1.8403992,264.94444764,CT,4.640808363750648,True,3.52719528310248,True
50,4,1.5,random,PTA,HM,clamped,Global,40,PTA-HM-clamped-Global,100,1.6122975,170.52225929,1.77805257,5.26313298,1.9861682999999999,263.69347896,2.1816366300000003,5.26313298,2.0882307,272.99709125000004,CT,4.887505963780736,True,3.4079529006703413,True
50,4,1.5,random,PTA,HM,clamped,Global,50,PTA-HM-clamped-Global,100,1.7615886,174.69410091999998,1.94136032,6.65847881,2.2847505,272.03716217,2.50825217,6.65847881,2.4051264,281.36134156,CT,5.004971880064179,True,3.3139518521991707,True
50,4,1.5,random,PTA,HM,latent,Agent,0,PTA-HM-latent-Agent,100,1.16094285,144.23890367,1.31972584,2.57124449,1.1616831,215.9589691,1.3178409500000001,2.49328586,1.3138632000000001,242.38948617999998,CT,11.582644220494187,True,10.904151618347225,True
50,4,1.5,random,PTA,HM,latent,Agent,5,PTA-HM-latent-Agent,100,1.1898431999999999,145.85524983,1.3500592599999999,2.66638379,1.2194838,219.19166151000002,1.37850775,2.64070365,1.372989,245.34208848999998,CT,11.180366339424431,True,10.658761055205513,True
50,4,1.5,random,PTA,HM,latent,Agent,10,PTA-HM-latent-Agent,100,1.23433905,148.21410892,1.39675358,2.91130714,1.3084755000000001,223.90937966,1.4718963500000002,2.90918196,1.4697924,250.03519211,CT,10.97548878331388,True,10.448854111106986,True
