kill_percent,step_ratio,effective_step_ratio,operating_conditions,configuration_conditions,median_post_removal_R,post_removal_R_ci_low,post_removal_R_ci_high,median_post_removal_R_abs,post_removal_R_abs_ci_low,post_removal_R_abs_ci_high
0,1.5,1.5,48,576,1.3932331799999997,1.26435555,1.532774955,18.017291489999998,14.598493484999999,22.857312515
0,2.0,2.0,48,576,0.8356529425,0.7642937299999999,1.0052700875,17.495025115,14.221060990000002,22.0704103025
0,2.5,2.5,48,576,0.6411700975,0.521730085,0.75961623,17.3190438325,14.108207885,21.781270560625003
5,1.5,1.4249999999999998,48,576,1.5041047875,1.30725845,1.69186289,18.2580083025,14.998040725,23.09659961
5,2.0,1.9,48,576,0.8791635074999999,0.835584675,1.0702599,17.528355655,14.273166420999999,22.215498215
5,2.5,2.375,48,576,0.6695427475,0.542201335,0.800614005,17.3462793725,14.122536365,21.827046085
10,1.5,1.35,48,576,1.77881561,1.530373945,2.951289,19.3790959425,16.18588408,23.574572840000002
10,2.0,1.8,48,576,0.9688157475000001,0.919839245,1.11819975,17.58471389,14.30758685,22.2880052225
10,2.5,2.25,48,576,0.7128098525000001,0.5927741774999999,0.8528149,17.3787073025,14.145814375,21.898512525
20,1.5,1.2000000000000002,48,576,5.581823935,1.7790823850000002,9.90332137,31.637271149999997,23.4330104575,38.7444443525
20,2.0,1.6,48,576,1.2019994925,1.1425663200000002,1.2302805,17.79287849,14.42409224,22.58579388
20,2.5,2.0,48,576,0.8318189325,0.72564509,0.99294044,17.458180390000003,14.184115055,22.05772828
30,1.5,1.0499999999999998,48,576,9.429332245000001,1.931452665,18.33944166,51.30206393499999,38.416093072500004,75.220367135
30,2.0,1.4,48,576,1.55066571,1.31960364,1.8414886799999999,18.475238665,15.397807955000001,23.1962955475
30,2.5,1.75,48,576,0.992097155,0.952927275,1.145331075,17.6010286525,14.29992146,22.340046725
40,1.5,0.8999999999999999,48,576,22.943820402500002,19.789080995,31.48904743,69.72229971,53.96341794999999,77.43923516
40,2.0,1.2,48,576,5.567235654999999,1.7716211400000001,9.821981605,31.560148365000003,23.458519755000005,39.003541395
40,2.5,1.5,48,576,1.36651475,1.2565468100000001,1.4292494599999999,17.9441608375,14.63423397,22.8224251775
50,1.5,0.75,48,576,34.843907285,29.846330289999997,47.09644284,80.99209689749999,69.95599623000001,94.596999445
50,2.0,1.0,48,576,11.189346002499999,2.26196175,20.491376109999997,57.392972997499996,43.11456075,66.887615305
50,2.5,1.25,48,576,4.0998990125,1.724279325,6.53717465,25.7405678525,19.756754085,30.566501445
