pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,run_method_id,config_label,R,R_abs
50,4,1.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,1.310718,161.84095268
50,4,1.5,scurve,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,1.73063243,11.25291146
50,4,1.5,sharp,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,1.5230103,2.19387245
50,4,1.5,zigzag,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,2.75880677,28.70328501
50,4,2.0,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.8663567999999999,109.40528429
50,4,2.0,scurve,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,1.50029035,11.739771699999999
50,4,2.0,sharp,SBTA,HM,clamped,,SBTA|SBTA_HM|clamped|,SBTA-HM,0.966696,1.1500032500000001
50,4,2.0,zigzag,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,1.62166657,24.21583856
50,4,2.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.5341515,66.34968056
50,4,2.5,scurve,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,1.00275209,11.21367504
50,4,2.5,sharp,CT,HM,clamped,,CT|CT_HM|clamped|,CT-HM,0.58186425,1.01998451
50,4,2.5,zigzag,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.95258332,26.023077819999997
50,8,1.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.92047253,59.01377331
50,8,1.5,scurve,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,1.41937141,9.1870189
50,8,1.5,sharp,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,0.8995681000000001,1.22518249
50,8,1.5,zigzag,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,1.57914733,13.122029540000002
50,8,2.0,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.6011424000000001,38.54248338
50,8,2.0,scurve,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,0.8381267200000001,8.94216545
50,8,2.0,sharp,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.567024,0.722897
50,8,2.0,zigzag,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,0.93036162,11.052081000000001
50,8,2.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.38044897,24.200310920000003
50,8,2.5,scurve,CT,HM,clamped,,CT|CT_HM|clamped|,CT-HM,0.58014924,9.11061902
50,8,2.5,sharp,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.33821566,0.46750993
50,8,2.5,zigzag,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.60747707,11.85094328
50,12,1.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.7591571500000001,32.66229673
50,12,1.5,scurve,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,1.10683859,7.44178286
50,12,1.5,sharp,SBTA,HM,clamped,,SBTA|SBTA_HM|clamped|,SBTA-HM,0.6544746499999999,1.10847021
50,12,1.5,zigzag,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,1.07015463,9.045965260000001
50,12,2.0,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.48876820000000004,21.44279089
50,12,2.0,scurve,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,0.5870223,7.1870737899999995
50,12,2.0,sharp,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.396668,0.5778368
50,12,2.0,zigzag,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,0.62996106,7.62405834
50,12,2.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.29993325,13.28952032
50,12,2.5,scurve,CT,HM,clamped,,CT|CT_HM|clamped|,CT-HM,0.37760333,7.32843658
50,12,2.5,sharp,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.2535605,0.37428331
50,12,2.5,zigzag,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.40944974,8.1660171
100,4,1.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,1.2807900799999998,159.52100757
100,4,1.5,scurve,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,1.7382043999999999,11.20083924
100,4,1.5,sharp,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,1.46278542,1.83414396
100,4,1.5,zigzag,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,2.75387716,28.503011360000002
100,4,2.0,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.8648372999999999,108.98969573000001
100,4,2.0,scurve,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,1.462677,11.708073449999999
100,4,2.0,sharp,SBTA,HM,clamped,,SBTA|SBTA_HM|clamped|,SBTA-HM,0.9076581,1.0982224600000001
100,4,2.0,zigzag,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,1.61462013,24.219220489999998
100,4,2.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.52843741,66.33685837
100,4,2.5,scurve,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.97462992,11.21650525
100,4,2.5,sharp,SBTA,HM,clamped,,SBTA|SBTA_HM|clamped|,SBTA-HM,0.49074529,1.48402892
100,4,2.5,zigzag,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.91445138,25.956362979999998
100,8,1.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.90722649,57.350854829999996
100,8,1.5,scurve,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,1.42481286,9.192093589999999
100,8,1.5,sharp,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,0.80618656,1.07959729
100,8,1.5,zigzag,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,1.54872778,13.05003913
100,8,2.0,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.57646395,36.855368750000004
100,8,2.0,scurve,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,0.82526528,8.90569801
100,8,2.0,sharp,CT,HM,clamped,,CT|CT_HM|clamped|,CT-HM,0.5549067,0.76881747
100,8,2.0,zigzag,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,0.91736772,11.002668960000001
100,8,2.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.34194761999999995,21.41927158
100,8,2.5,scurve,CT,HM,clamped,,CT|CT_HM|clamped|,CT-HM,0.5486296,9.07963763
100,8,2.5,sharp,CT,HM,clamped,,CT|CT_HM|clamped|,CT-HM,0.29749794,0.4614108
100,8,2.5,zigzag,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.55948089,11.86615248
100,12,1.5,random,CT,HM,clamped,,CT|CT_HM|clamped|,CT-HM,0.7280842,31.48907004
100,12,1.5,scurve,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,1.10720526,7.4424031500000005
100,12,1.5,sharp,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,0.5741449,0.82296762
100,12,1.5,zigzag,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,1.04954531,9.00503177
100,12,2.0,random,CT,HM,clamped,,CT|CT_HM|clamped|,CT-HM,0.4454037,19.13625115
100,12,2.0,scurve,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,0.58396792,7.17036135
100,12,2.0,sharp,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.3790472,0.56005112
100,12,2.0,zigzag,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,0.62378882,7.59696878
100,12,2.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.25912025,10.78367419
100,12,2.5,scurve,CT,HM,clamped,,CT|CT_HM|clamped|,CT-HM,0.36985975,7.31344141
100,12,2.5,sharp,CT,HM,clamped,,CT|CT_HM|clamped|,CT-HM,0.20514197,0.32133986
100,12,2.5,zigzag,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,0.38594661,8.16331293
500,4,1.5,random,SETA,HM,clamped,,SETA|SETA_HM|clamped|,SETA-HM-clamped,1.26075231,157.0613701
500,4,1.5,scurve,SETA,HM,latent,,SETA|SETA_HM|latent|,SETA-HM-latent,1.7507363599999999,11.18076457
500,4,1.5,sharp,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,1.39594291,1.4188060100000002
500,4,1.5,zigzag,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,2.76564307,28.437640580000004
500,4,2.0,random,CT,HM,clamped,,CT|CT_HM|clamped|,CT-HM,0.85133082,106.44387188
500,4,2.0,scurve,SETA,HT1,latent,,SETA|SETA_HT1|latent|,SETA-HT1-latent,1.43624897,11.687082069999999
500,4,2.0,sharp,SBTA,HM,clamped,,SBTA|SBTA_HM|clamped|,SBTA-HM,0.8846563199999999,1.06770174
