factor,level,operating_conditions,median_best_pta_R,median_best_alternative_R,median_pta_reduction_percent
Population,50,36,0.44619641,0.798641935,45.169876909705465
Population,100,36,0.39445025499999997,0.76713538,47.073223714669
Population,500,36,0.35045885,0.7039818550000001,49.539898173164
Population,1000,36,0.34299303999999997,0.6940878449999999,49.387198390074126
Tasks,4,48,0.66298777,1.1317522,44.8567660806497
Tasks,8,48,0.3379319,0.652119165,50.558016229452285
Tasks,12,48,0.23233044,0.46359082500000004,48.46309069663563
Step ratio,1.5,48,0.678969535,1.18427299,48.371065179742864
Step ratio,2.0,48,0.33593438,0.7276131699999999,53.37838800280561
Step ratio,2.5,48,0.25080698,0.418281505,37.43184811192871
Demand class,Non-iterative gradual,36,0.46131795,0.562697805,15.94491854129101
Demand class,Iterative gradual,36,0.333905485,0.93508442,58.5889345647703
Demand class,Non-iterative non-gradual,36,0.27011767500000006,0.511773745,47.50771559796401
Demand class,Iterative non-gradual,36,0.533003195,0.9238646699999999,48.86910007884083
