family,pattern,step_ratio,config_label,conditions_won
CT,Non-iterative gradual,1.5,CT-HM,12
CT,Non-iterative gradual,2.0,CT-HM,12
CT,Non-iterative gradual,2.5,CT-HM,12
CT,Iterative gradual,1.5,CT-HT1,12
CT,Iterative gradual,2.0,CT-HM,12
CT,Iterative gradual,2.5,CT-HM,12
CT,Non-iterative non-gradual,1.5,CT-HM,8
CT,Non-iterative non-gradual,1.5,CT-HT1,3
CT,Non-iterative non-gradual,1.5,CT-HT2,1
CT,Non-iterative non-gradual,2.0,CT-HM,12
CT,Non-iterative non-gradual,2.5,CT-HM,12
CT,Iterative non-gradual,1.5,CT-HM,3
CT,Iterative non-gradual,1.5,CT-HT1,9
CT,Iterative non-gradual,2.0,CT-HM,12
CT,Iterative non-gradual,2.5,CT-HM,12
LFTA,Non-iterative gradual,1.5,LFTA-HM,12
LFTA,Non-iterative gradual,2.0,LFTA-HM,10
LFTA,Non-iterative gradual,2.0,LFTA-HT2,2
LFTA,Non-iterative gradual,2.5,LFTA-HM,1
LFTA,Non-iterative gradual,2.5,LFTA-HT2,11
LFTA,Iterative gradual,1.5,LFTA-HM,12
LFTA,Iterative gradual,2.0,LFTA-HM,4
LFTA,Iterative gradual,2.0,LFTA-HT2,8
LFTA,Iterative gradual,2.5,LFTA-HT2,12
LFTA,Non-iterative non-gradual,1.5,LFTA-HT2,12
LFTA,Non-iterative non-gradual,2.0,LFTA-HT2,12
LFTA,Non-iterative non-gradual,2.5,LFTA-HT2,12
LFTA,Iterative non-gradual,1.5,LFTA-HM,4
LFTA,Iterative non-gradual,1.5,LFTA-HT2,8
LFTA,Iterative non-gradual,2.0,LFTA-HM,4
LFTA,Iterative non-gradual,2.0,LFTA-HT2,8
LFTA,Iterative non-gradual,2.5,LFTA-HM,4
LFTA,Iterative non-gradual,2.5,LFTA-HT2,8
SBTA,Non-iterative gradual,1.5,SBTA-HM,12
SBTA,Non-iterative gradual,2.0,SBTA-HM,12
SBTA,Non-iterative gradual,2.5,SBTA-HM,12
SBTA,Iterative gradual,1.5,SBTA-HM,4
SBTA,Iterative gradual,1.5,SBTA-HT2,8
SBTA,Iterative gradual,2.0,SBTA-HT2,12
SBTA,Iterative gradual,2.5,SBTA-HT2,12
SBTA,Non-iterative non-gradual,1.5,SBTA-HM,12
SBTA,Non-iterative non-gradual,2.0,SBTA-HM,12
SBTA,Non-iterative non-gradual,2.5,SBTA-HM,12
SBTA,Iterative non-gradual,1.5,SBTA-HM,1
SBTA,Iterative non-gradual,1.5,SBTA-HT1,11
SBTA,Iterative non-gradual,2.0,SBTA-HM,6
SBTA,Iterative non-gradual,2.0,SBTA-HT2,6
SBTA,Iterative non-gradual,2.5,SBTA-HM,4
SBTA,Iterative non-gradual,2.5,SBTA-HT2,8
SETA,Non-iterative gradual,1.5,SETA-HM-clamped,12
SETA,Non-iterative gradual,2.0,SETA-HM-clamped,12
SETA,Non-iterative gradual,2.5,SETA-HM-clamped,12
SETA,Iterative gradual,1.5,SETA-HM-latent,12
SETA,Iterative gradual,2.0,SETA-HM-latent,8
SETA,Iterative gradual,2.0,SETA-HT1-latent,4
SETA,Iterative gradual,2.5,SETA-HM-clamped,12
SETA,Non-iterative non-gradual,1.5,SETA-HT1-latent,12
SETA,Non-iterative non-gradual,2.0,SETA-HM-clamped,5
SETA,Non-iterative non-gradual,2.0,SETA-HM-latent,1
SETA,Non-iterative non-gradual,2.0,SETA-HT1-latent,6
SETA,Non-iterative non-gradual,2.5,SETA-HM-clamped,12
SETA,Iterative non-gradual,1.5,SETA-HT1-latent,12
SETA,Iterative non-gradual,2.0,SETA-HM-latent,12
SETA,Iterative non-gradual,2.5,SETA-HM-clamped,12
PTA,Non-iterative gradual,1.5,PTA-HM-latent-Agent,12
PTA,Non-iterative gradual,2.0,PTA-HM-latent-Agent,12
PTA,Non-iterative gradual,2.5,PTA-HM-latent-Agent,12
PTA,Iterative gradual,1.5,PTA-HT1-clamped-Agent,12
PTA,Iterative gradual,2.0,PTA-HT1-clamped-Agent,12
PTA,Iterative gradual,2.5,PTA-HT2-clamped-Agent,12
PTA,Non-iterative non-gradual,1.5,PTA-HT1-clamped-Agent,12
PTA,Non-iterative non-gradual,2.0,PTA-HT2-clamped-Agent,12
PTA,Non-iterative non-gradual,2.5,PTA-HM-latent-Agent,10
PTA,Non-iterative non-gradual,2.5,PTA-HT2-clamped-Agent,2
PTA,Iterative non-gradual,1.5,PTA-HT1-clamped-Agent,12
PTA,Iterative non-gradual,2.0,PTA-HT1-clamped-Agent,12
PTA,Iterative non-gradual,2.5,PTA-HM-latent-Agent,3
PTA,Iterative non-gradual,2.5,PTA-HT2-clamped-Agent,9
