configuration,run_method_id,threshold_range,threshold_mode,gain_scheme,mean_R,median_R,geometric_mean_R,PTA_conditions_won,within_5pct_of_best_PTA,within_10pct_of_best_PTA,median_regret_pct,p90_regret_pct,max_regret_pct,wins_vs_conditionwise_best_alternative,median_reduction_vs_best_alt_pct,reduction_ci_low,reduction_ci_high
PTA-HM-latent-Agent,PTA|TD1_PID1|latent|Agent,HM,latent,Agent,0.7555728552083334,0.5835645700000001,0.5968493135658473,49,50,51,65.33856942886662,124.83996271826334,254.53235948411083,124,17.304536385111046,15.649908104318538,19.571224597568037
PTA-HM-latent-Global,PTA|TD1_PID1|latent|Global,HM,latent,Global,0.8188460019444445,0.6423018250000001,0.6559191195984759,0,16,36,82.41088966776789,141.33257425278805,284.8921220790905,111,11.451217789165991,9.930304173547654,12.505372189911823
PTA-HT2-clamped-Agent,PTA|TD3_PID1|clamped|Agent,HT2,clamped,Agent,0.7209575563888888,0.542282845,0.5629120300452193,35,38,43,40.38873553228518,139.5896482636639,298.91577053098064,100,26.700640985942226,20.40102994048749,39.11127487155246
PTA-HM-clamped-Agent,PTA|TD1_PID1|clamped|Agent,HM,clamped,Agent,0.777472196875,0.727945965,0.6661921388211156,0,1,10,60.38552239886942,161.23832785641866,250.48268485750773,95,6.624406371972025,3.488973980947141,9.849212731736223
PTA-HT1-clamped-Agent,PTA|TD2_PID1|clamped|Agent,HT1,clamped,Agent,0.7689977129861112,0.65727627,0.6314656400169913,60,60,60,35.35916518934681,248.28301370566223,573.064021187448,93,33.1557154824427,21.2342321437194,42.692548367487014
PTA-HT1-clamped-Global,PTA|TD2_PID1|clamped|Global,HT1,clamped,Global,0.8365725959722222,0.7043140649999999,0.7106327497876299,0,0,4,54.00727493081007,241.0106255045709,547.1114222082967,92,23.978173741590126,14.8470302339347,32.17153627885022
PTA-HT2-clamped-Global,PTA|TD3_PID1|clamped|Global,HT2,clamped,Global,0.7868595822222222,0.7153238399999999,0.6442940126976628,0,0,0,57.7136199863198,134.95864273011895,274.1771687818486,92,17.463421255839194,14.643775252745517,21.21390364202008
PTA-HM-clamped-Global,PTA|TD1_PID1|clamped|Global,HM,clamped,Global,0.8266804113194445,0.747541805,0.6972581285876637,0,0,9,78.83134469992623,170.5690492845,281.9343902780538,81,1.6888973383844097,-0.4686805230654123,7.663241327685566
PTA-HT2-latent-Agent,PTA|TD3_PID1|latent|Agent,HT2,latent,Agent,0.9194783958333334,0.7520566,0.7683862593890854,0,0,0,95.14403404110199,151.906981790895,300.29211649383785,64,-2.3628882197753054,-5.8689497199670315,7.3221024996637185
PTA-HT1-latent-Agent,PTA|TD2_PID1|latent|Agent,HT1,latent,Agent,0.9815687889583332,1.007278525,0.8769472321137699,0,0,0,113.57514869071596,228.51406632480712,413.2890997506114,59,-7.788304087899256,-23.367363025951725,-0.15562745552422097
PTA-HT2-latent-Global,PTA|TD3_PID1|latent|Global,HT2,latent,Global,0.987995695,0.88360281,0.8332752546737746,0,0,0,111.49782996712709,176.59046278827051,319.94535858537813,54,-6.392194684609098,-10.802650558619442,-2.389742156124619
PTA-HT1-latent-Global,PTA|TD2_PID1|latent|Global,HT1,latent,Global,1.0472197718055556,1.11636675,0.9298625560740655,0,0,0,122.6784637580623,251.24551748817098,467.2846884251071,52,-15.089581349882097,-28.14001287845884,-3.9793149683859497
