pop,n,step_ratio,pattern,threshold_range,threshold_mode,R_agent,R_abs_agent,R_global,R_abs_global,R_log_ratio,R_abs_log_ratio
50,4,1.5,random,HM,clamped,1.2472017,154.71304156,1.2474380999999999,154.88766232,-0.00018952636024456007,-0.0011280386402761225
50,4,1.5,random,HM,latent,1.16094285,144.23890367,1.2064941,149.77901669000002,-0.03848623919481855,-0.037690007639672625
50,4,1.5,random,HT1,clamped,1.75714935,212.79451356,1.77866925,216.69175941,-0.012172663904776093,-0.018148905185075996
50,4,1.5,random,HT1,latent,1.65278145,203.49106066000002,1.7328832499999998,212.66584361000002,-0.04732704379759437,-0.04410004853967673
50,4,1.5,random,HT2,clamped,1.55618625,191.99620621999998,1.5802479,194.27192903,-0.015343616929316222,-0.011783261073674152
50,4,1.5,random,HT2,latent,1.46189745,181.34280126000002,1.5558851999999999,191.71138933999998,-0.06230942888553718,-0.05560189094198678
50,4,1.5,scurve,HM,clamped,1.50291248,11.594563350000001,1.73058271,11.656351469999999,-0.1410532995168029,-0.005314910482354238
50,4,1.5,scurve,HM,latent,2.22484965,11.941220659999999,2.29314132,11.951179629999999,-0.03023329272634181,-0.000833651743306628
50,4,1.5,scurve,HT1,clamped,0.9454286199999999,11.489110590000001,1.02153842,11.52924247,-0.07742663410495607,-0.0034869497881454326
50,4,1.5,scurve,HT1,latent,2.03603809,12.076809659999999,2.10477644,12.11696414,-0.03320345045398434,-0.0033194091341051334
50,4,1.5,scurve,HT2,clamped,1.74635089,12.03091112,1.79567702,12.0470329,-0.0278537155932324,-0.0013391328093330843
50,4,1.5,scurve,HT2,latent,2.75526537,12.56499161,2.7913557200000003,12.58558398,-0.013013637943665867,-0.0016375271037308004
50,4,1.5,sharp,HM,clamped,1.49805375,1.86512685,1.60484595,2.11598831,-0.06886100504085384,-0.1261929225375426
50,4,1.5,sharp,HM,latent,1.3788221999999999,1.2980620600000001,1.5227232000000002,1.4118885399999999,-0.09927065435395413,-0.08405576912082383
50,4,1.5,sharp,HT1,clamped,0.7112269499999999,0.8422665899999999,1.0267758,1.20149751,-0.36718730316896864,-0.35522740343267706
50,4,1.5,sharp,HT1,latent,1.0512054,1.12625209,1.2696189,1.46823906,-0.18877927097639205,-0.26516837869100757
50,4,1.5,sharp,HT2,clamped,1.0183869,1.18363243,1.21654485,1.30322869,-0.17779484576262553,-0.0962567524754367
50,4,1.5,sharp,HT2,latent,1.32208425,1.3866226700000002,1.50890985,1.6138644300000002,-0.13217796785335842,-0.1517605133010215
50,4,1.5,zigzag,HM,clamped,2.50452031,27.771902559999997,2.77173676,27.87461658,-0.10137688970760589,-0.00369166439301459
50,4,1.5,zigzag,HM,latent,2.86191761,27.20604467,3.0696538600000003,27.27507688,-0.0700729128980276,-0.002534171286489345
50,4,1.5,zigzag,HT1,clamped,1.46555283,26.710587139999998,1.73832496,26.846584269999997,-0.17068945324957854,-0.005078588682835456
50,4,1.5,zigzag,HT1,latent,2.36216662,27.34925487,2.52127295,27.64964297,-0.06518465567168144,-0.010923531152038146
50,4,1.5,zigzag,HT2,clamped,2.33624237,27.278630720000002,2.49697921,27.228906459999997,-0.06653787140708611,0.0018244916709110057
50,4,1.5,zigzag,HT2,latent,3.03965423,28.17679892,3.11996334,28.31528831,-0.026077482934707123,-0.00490297576957618
50,4,2.0,random,HM,clamped,0.786705,97.96548623999999,0.7935954,99.14123384,-0.008720422605000864,-0.01193020252997797
50,4,2.0,random,HM,latent,0.7290971999999999,87.80613019,0.7672146,94.82633952,-0.050959497174096355,-0.07691589557228609
50,4,2.0,random,HT1,clamped,1.5231978000000002,188.73377225000002,1.5472278,192.56655383,-0.015652872771370348,-0.020104418558717554
50,4,2.0,random,HT1,latent,1.391136,174.97421263,1.4843574000000002,186.58931645,-0.06486127177898474,-0.06427142635735204
50,4,2.0,random,HT2,clamped,1.2757176,158.71967208,1.2727704,158.80401375,0.0023129018569760366,-0.0005312464911908517
50,4,2.0,random,HT2,latent,1.1288634,141.95250975000002,1.2328332,155.07963661,-0.08810364940666092,-0.08844620627379332
50,4,2.0,scurve,HM,clamped,1.12233165,11.30730806,1.23411681,11.3521626,-0.0949472289884875,-0.00395901557099809
50,4,2.0,scurve,HM,latent,1.1875133599999999,11.29641198,1.27664034,11.34557656,-0.07237038551221082,-0.00434278616320275
50,4,2.0,scurve,HT1,clamped,0.45542425000000003,11.10910292,0.52954444,11.1530897,-0.15078768765174655,-0.003951707542221581
50,4,2.0,scurve,HT1,latent,1.2265541500000001,11.5506387,1.2955960899999999,11.59652037,-0.054762156641515035,-0.003964350869255504
50,4,2.0,scurve,HT2,clamped,0.54877193,11.219371200000001,0.6120612599999999,11.24478134,-0.10914944839767692,-0.002262284392169188
50,4,2.0,scurve,HT2,latent,1.3529210900000002,11.647368570000001,1.40161082,11.677481519999999,-0.03535613567806738,-0.0025820501837323716
50,4,2.0,sharp,HM,clamped,0.8277024000000001,1.18204817,0.8547258,1.05605335,-0.032127046258118096,0.11270996627334136
50,4,2.0,sharp,HM,latent,0.7148676,0.97010831,0.818286,0.92741658,-0.1351145580252603,0.04500487532187785
50,4,2.0,sharp,HT1,clamped,0.6623322,1.90475853,0.8089740000000001,1.05269559,-0.19999953533957104,0.5930011416002768
50,4,2.0,sharp,HT1,latent,0.7862154,1.2747144,0.9173394,1.03362476,-0.15424672304830783,0.20965034465100194
50,4,2.0,sharp,HT2,clamped,0.5552208000000001,0.9374792200000001,0.7741625999999999,0.88966049,-0.33241605657813184,0.05235467422842325
50,4,2.0,sharp,HT2,latent,0.769782,0.94568425,0.9307470000000001,1.02223253,-0.18988013166107892,-0.07783552979306847
50,4,2.0,zigzag,HM,clamped,1.28748218,26.44679832,1.3434938399999998,26.380215269999997,-0.042585051340549684,0.0025207968701315446
50,4,2.0,zigzag,HM,latent,1.24131916,26.13432907,1.37566447,26.186224510000002,-0.10276221244827242,-0.001983750303374661
50,4,2.0,zigzag,HT1,clamped,0.81821726,26.1712726,1.07603366,26.395456479999996,-0.2739091224007469,-0.008529548750570121
50,4,2.0,zigzag,HT1,latent,1.42476518,26.58997595,1.59700379,26.862981,-0.11412222825280609,-0.010214867031957623
50,4,2.0,zigzag,HT2,clamped,0.88781044,26.31679479,1.12076053,26.398431690000002,-0.23300452674943534,-0.0030972821597923528
