PTA_configuration,comparator_family,PTA_lower_R,total,median_R_reduction_pct,R_ci_low,R_ci_high,PTA_lower_R_abs,median_R_abs_reduction_pct
PTA-HT1-clamped-Agent,CT,93,144,38.12774267514136,27.681353556227734,50.72860047207379,84,1.9110817245004297
PTA-HT1-clamped-Agent,LFTA,103,144,59.56739736637725,52.133099525486884,63.304738876204155,83,3.8761175985020047
PTA-HT1-clamped-Agent,SBTA,95,144,44.92772213911779,35.36285349681248,52.50415984859927,87,4.09738134819616
PTA-HT1-clamped-Agent,SETA,93,144,38.38743455579624,21.2342321437194,43.38909945238591,57,-2.5660902522546047
PTA-HT2-clamped-Agent,CT,104,144,44.7307443664146,41.55204326818086,47.63825820258951,96,3.1677662392658568
PTA-HT2-clamped-Agent,LFTA,121,144,56.98523592541477,51.77790378587711,59.92979357540244,88,4.847218855197233
PTA-HT2-clamped-Agent,SBTA,107,144,40.81195614221873,33.87215733142174,46.34882517590011,91,4.648807197305105
PTA-HT2-clamped-Agent,SETA,102,144,27.66960579455925,21.627392518391318,39.11127487155246,63,-1.5714232067588263
PTA-HM-latent-Agent,CT,144,144,24.444744797120443,22.20301366048123,27.478093679721383,132,10.925696064079194
PTA-HM-latent-Agent,LFTA,144,144,48.58514953039733,46.36589602771352,50.3968909277477,108,7.332915978725129
PTA-HM-latent-Agent,SBTA,144,144,25.414627099269904,23.293820762502115,26.67285189967837,132,12.159157300178059
PTA-HM-latent-Agent,SETA,124,144,18.337322173151183,15.9954565431486,20.04284670837385,102,3.3180628936533174
