PTA_configuration,evaluation_scope,comparator_configuration,PTA_lower_R,total,median_R_reduction_pct,R_ci_low,R_ci_high,PTA_lower_R_abs,median_R_abs_reduction_pct,R_abs_ci_low,R_abs_ci_high
PTA-HT1-clamped-Agent,complete grid,CT-HM,93,144,38.12774267514136,27.681353556227734,52.118614059086646,84,1.9110817245004297,1.2354975498982679,3.5200127126517224
PTA-HT1-clamped-Agent,complete grid,LFTA-HM,108,144,64.4021447255404,60.68161851558285,68.83562596896377,83,2.7515851379674716,-0.09189944014664775,6.022385339010746
PTA-HT1-clamped-Agent,complete grid,SBTA-HT2,100,144,47.463014195311835,42.62766676056344,54.85053146222963,91,4.864926271058101,2.455707374555427,5.607499721040643
PTA-HT1-clamped-Agent,complete grid,SETA-HT1-latent,98,144,48.36078819216995,42.640381771492045,51.837826774251816,92,4.42022014008997,4.120210280609449,4.976199259380742
PTA-HT2-clamped-Agent,complete grid,CT-HM,104,144,46.46656150985001,42.8851125004906,47.63825820258951,96,3.1677662392658568,2.564019720505284,5.12844076602148
PTA-HT2-clamped-Agent,complete grid,LFTA-HM,126,144,64.33832033442697,57.06473460958688,72.27940567164151,86,4.065200638623201,0.7819166980268855,5.723127299004904
PTA-HT2-clamped-Agent,complete grid,SBTA-HT2,113,144,50.66892953115807,43.80340029537464,55.54718712131339,109,4.7381555934900454,4.521290189515248,5.321086961061772
PTA-HT2-clamped-Agent,complete grid,SETA-HT1-latent,144,144,39.752075202389506,31.64812128809025,48.45163348614992,132,5.13866569612218,4.9782791030752005,5.378905955785395
PTA-HM-latent-Agent,complete grid,CT-HM,144,144,25.34603467472466,23.501789398660332,29.264565889264237,132,7.627908444018205,6.2667637750477345,10.363569559605805
PTA-HM-latent-Agent,complete grid,LFTA-HM,144,144,58.846085241214865,55.76641894456181,61.731700466436635,99,6.689815117502751,5.318016731501684,34.30127466304632
PTA-HM-latent-Agent,complete grid,SBTA-HT2,144,144,38.68139238342575,35.732987616799825,41.18368909897031,135,8.204984139435389,7.108353059756977,15.22691619705988
PTA-HM-latent-Agent,complete grid,SETA-HT1-latent,128,144,35.931578798808104,33.80209001652845,45.70910232302228,133,5.507828293706963,4.994190036123792,6.459976932471012
