factor,threshold_range,level,comparisons,median_reduction_percent,ci_low,ci_high
pop,HM,50,36,20.06580656081054,16.001743191144836,23.58448025946921
pop,HM,100,36,20.510218280862258,15.795873609123777,24.03269103492982
pop,HM,500,36,20.96158241421976,17.234931565006704,23.38960318018804
pop,HM,1000,36,21.140358225270035,17.54691769433124,23.308551239980236
pop,HT1,50,36,48.36034341757632,22.267236899045237,55.58624140287978
pop,HT1,100,36,48.52018151664714,28.754293842054135,56.404121649912064
pop,HT1,500,36,48.08603771819695,16.336558728223384,54.46535789805344
pop,HT1,1000,36,48.06747356572427,13.729099136024248,54.362556230042216
pop,HT2,50,36,42.818526215969555,36.83955825023183,54.796373013194
pop,HT2,100,36,42.748637181080895,35.24001544954682,56.34610224595874
pop,HT2,500,36,41.27564039671411,34.06871084691765,57.55799766481354
pop,HT2,1000,36,40.991156800206035,34.638829799792035,57.93979983234503
n,HM,4,48,19.07556746274284,17.08465542243772,24.414052789611418
n,HM,8,48,21.092155194445933,18.52457920120093,23.58448025946921
n,HM,12,48,21.11088423677765,16.046403658147256,22.376368968310423
n,HT1,4,48,46.140549714084884,36.518635592868065,51.80602360666132
n,HT1,8,48,49.35687700815456,24.94416392747255,56.037680657936036
n,HT1,12,48,48.8559655302157,16.336558728223384,56.404121649912064
n,HT2,4,48,42.818526215969555,36.02107236961226,53.18782148706944
n,HT2,8,48,39.5134264105009,35.98167129188171,56.837920271920694
n,HT2,12,48,40.07229748483189,34.638829799792035,57.97810804024177
