pop,n,config_label,conditions_won
50,4,PTA-HM-latent-Agent,5
50,4,PTA-HT1-clamped-Agent,5
50,4,PTA-HT2-clamped-Agent,2
50,8,PTA-HM-latent-Agent,4
50,8,PTA-HT1-clamped-Agent,5
50,8,PTA-HT2-clamped-Agent,3
50,12,PTA-HM-latent-Agent,4
50,12,PTA-HT1-clamped-Agent,5
50,12,PTA-HT2-clamped-Agent,3
100,4,PTA-HM-latent-Agent,5
100,4,PTA-HT1-clamped-Agent,5
100,4,PTA-HT2-clamped-Agent,2
100,8,PTA-HM-latent-Agent,4
100,8,PTA-HT1-clamped-Agent,5
100,8,PTA-HT2-clamped-Agent,3
100,12,PTA-HM-latent-Agent,4
100,12,PTA-HT1-clamped-Agent,5
100,12,PTA-HT2-clamped-Agent,3
500,4,PTA-HM-latent-Agent,5
500,4,PTA-HT1-clamped-Agent,5
500,4,PTA-HT2-clamped-Agent,2
500,8,PTA-HM-latent-Agent,4
500,8,PTA-HT1-clamped-Agent,5
500,8,PTA-HT2-clamped-Agent,3
500,12,PTA-HM-latent-Agent,3
500,12,PTA-HT1-clamped-Agent,5
500,12,PTA-HT2-clamped-Agent,4
1000,4,PTA-HM-latent-Agent,4
1000,4,PTA-HT1-clamped-Agent,5
1000,4,PTA-HT2-clamped-Agent,3
1000,8,PTA-HM-latent-Agent,4
1000,8,PTA-HT1-clamped-Agent,5
1000,8,PTA-HT2-clamped-Agent,3
1000,12,PTA-HM-latent-Agent,3
1000,12,PTA-HT1-clamped-Agent,5
1000,12,PTA-HT2-clamped-Agent,4
