pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,run_method_id,config_label,R,R_abs
50,4,1.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,1.16094285,144.23890367
50,4,1.5,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.9454286199999999,11.489110590000001
50,4,1.5,sharp,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.7112269499999999,0.8422665899999999
50,4,1.5,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,1.46555283,26.710587139999998
50,4,2.0,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.7290971999999999,87.80613019
50,4,2.0,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.45542425000000003,11.10910292
50,4,2.0,sharp,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.5552208000000001,0.9374792200000001
50,4,2.0,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.81821726,26.1712726
50,4,2.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.46181475,45.22649416
50,4,2.5,scurve,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.45547947,11.05563027
50,4,2.5,sharp,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.35254125000000003,1.48458037
50,4,2.5,zigzag,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.63402475,25.58114725
50,8,1.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.7904783999999999,50.237601569999995
50,8,1.5,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.66598828,9.150484290000001
50,8,1.5,sharp,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.37592098,0.4978129
50,8,1.5,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.79574635,12.313775960000001
50,8,2.0,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.4897833,28.32799927
50,8,2.0,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.31276394,8.88878168
50,8,2.0,sharp,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.3120441,0.57869466
50,8,2.0,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.43696857,12.004674950000002
50,8,2.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.32807157,18.45700948
50,8,2.5,scurve,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.26945584,8.85775125
50,8,2.5,sharp,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.24825306000000003,0.97924783
50,8,2.5,zigzag,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.34904672,11.889918049999999
50,12,1.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.64080905,27.14318531
50,12,1.5,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.51986283,7.382171990000001
50,12,1.5,sharp,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.2606219,0.3754655
50,12,1.5,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.5549178,8.50450823
50,12,2.0,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.3876704,15.325442709999999
50,12,2.0,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.22726776,7.166156989999999
50,12,2.0,sharp,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.22558340000000002,0.40339584
