PTA_configuration,comparator_configuration,PTA_lower_R,total,median_R_reduction_pct,R_ci_low,R_ci_high,PTA_lower_R_abs,median_R_abs_reduction_pct,R_abs_ci_low,R_abs_ci_high
PTA-HT1-clamped-Agent,CT-HT1,104,144,61.091533195794746,56.52809156459253,65.2414155922473,108,11.969550280443809,11.00071257028965,13.300470002906764
PTA-HT1-clamped-Agent,LFTA-HT1,144,144,74.69830856625317,71.84775560933272,77.70748574317456,141,14.487660306501226,13.11063070820422,16.696596865374946
PTA-HT1-clamped-Agent,SBTA-HT1,108,144,58.93236878282026,54.89563060943033,62.004412303651435,104,8.573949240263445,6.551389719900447,9.195598623122692
PTA-HT1-clamped-Agent,SETA-HT1-clamped,104,144,57.557577520662775,52.12927479060598,60.71556873824537,101,7.93559485531431,6.144141202058811,8.403805356945604
PTA-HT2-clamped-Agent,CT-HT2,113,144,50.21430405984051,45.33481782582278,56.64249573021244,109,8.588429219283334,7.535118921111261,8.813960665983034
PTA-HT2-clamped-Agent,LFTA-HT2,126,144,57.23637070920533,52.426137904825,61.54838170907401,116,6.8975443189852275,5.408463762996685,7.658678793222739
PTA-HT2-clamped-Agent,SBTA-HT2,113,144,50.66892953115807,43.80340029537464,55.54718712131339,109,4.7381555934900454,4.521290189515248,5.321086961061772
PTA-HT2-clamped-Agent,SETA-HT2-clamped,112,144,44.55905770386167,40.93432283557652,54.752123105048426,106,5.572742784892015,5.2722431440735775,6.2044553967748675
PTA-HM-latent-Agent,CT-HM,144,144,25.34603467472466,23.501789398660332,29.264565889264237,132,7.627908444018205,6.2667637750477345,10.363569559605805
PTA-HM-latent-Agent,LFTA-HM,144,144,58.846085241214865,55.76641894456181,61.731700466436635,99,6.689815117502751,5.318016731501684,34.30127466304632
PTA-HM-latent-Agent,SBTA-HM,144,144,27.196422113205575,25.110993148233817,32.640410080321146,125,3.4706915128705496,2.7794443264228974,15.453416500805128
PTA-HM-latent-Agent,SETA-HM-latent,128,144,23.963715625220207,21.694809694297447,26.865005382381213,77,0.25097314120261505,-0.4845966468672297,14.305258038594182
