pop,n,pattern,step_ratio,family,threshold_range,threshold_mode,gain_scheme,run_method_id,R
50,4,random,1.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,1.16094285
50,4,random,2.0,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.7290971999999999
50,4,random,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.46181475
50,4,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.9454286199999999
50,4,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.45542425000000003
50,4,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.45547947
50,4,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.7112269499999999
50,4,sharp,2.0,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.5552208000000001
50,4,sharp,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.35254125000000003
50,4,zigzag,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,1.46555283
50,4,zigzag,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.81821726
50,4,zigzag,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.63402475
50,8,random,1.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.7904783999999999
50,8,random,2.0,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.4897833
50,8,random,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.32807157
50,8,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.66598828
50,8,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.31276394
50,8,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.26945584
50,8,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.37592098
50,8,sharp,2.0,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.3120441
50,8,sharp,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.24825306000000003
50,8,zigzag,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.79574635
50,8,zigzag,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.43696857
50,8,zigzag,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.34904672
50,12,random,1.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.64080905
50,12,random,2.0,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.3876704
50,12,random,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.25180475
50,12,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.51986283
50,12,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.22726776
50,12,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.19516556999999998
50,12,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.2606219
50,12,sharp,2.0,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.22558340000000002
50,12,sharp,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.19777725000000002
50,12,zigzag,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.5549178
50,12,zigzag,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.30485042
50,12,zigzag,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.2393215
100,4,random,1.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,1.1329834300000001
100,4,random,2.0,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.7216277999999999
100,4,random,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.44601649000000004
100,4,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.9719354
100,4,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.38822812
100,4,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.40154505999999995
100,4,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.70497446
