n,step_ratio,pattern,family,method_label,threshold_mode,threshold_range,gain_scheme,feedback_noise_alpha,feedback_bias_alpha,R,R_abs,R2,R2_norm,R2_max_norm,avg_switch_noidle
4,1.5,random,CT,CT-HM,clamped,HM,,0.0,0.0,1.26079748,157.14814404,2.81862823,1.40931407,2.79912747,116.2247
4,1.5,random,CT,CT-HM,clamped,HM,,0.0,0.05,1.2593418699999999,156.72598997,2.8172206,1.4086103600000002,2.8349239,116.65928
4,1.5,random,CT,CT-HM,clamped,HM,,0.0,0.1,1.26235137,156.44244606,2.82666901,1.41333448,2.94012851,116.99568
4,1.5,random,CT,CT-HM,clamped,HM,,0.0,0.2,1.2818043700000001,156.29557752,2.8789903600000004,1.4394952,3.24360297,117.8233
4,1.5,random,CT,CT-HM,clamped,HM,,0.05,0.0,1.2615425,156.96756634,2.82063232,1.41031616,2.82635645,116.63174000000001
4,1.5,random,CT,CT-HM,clamped,HM,,0.05,0.05,1.25997716,156.59094541000002,2.81874243,1.4093711999999998,2.86445338,116.97156000000001
4,1.5,random,CT,CT-HM,clamped,HM,,0.05,0.1,1.26303433,156.31931456,2.8282170300000002,1.4141085000000002,2.96982643,117.35976000000001
4,1.5,random,CT,CT-HM,clamped,HM,,0.05,0.2,1.2828636700000002,156.16466993,2.88100062,1.44050024,3.27325943,118.11136
4,1.5,random,CT,CT-HM,clamped,HM,,0.1,0.0,1.26331924,156.62588161,2.8261610100000003,1.4130805499999999,2.9179508499999995,117.56154000000001
4,1.5,random,CT,CT-HM,clamped,HM,,0.1,0.05,1.261846,156.25442393,2.82441748,1.4122088,2.94687964,117.90096
4,1.5,random,CT,CT-HM,clamped,HM,,0.1,0.1,1.2651007699999999,156.00981558,2.8337858899999997,1.4168929399999999,3.04936232,118.29987999999999
4,1.5,random,CT,CT-HM,clamped,HM,,0.1,0.2,1.2851550299999999,155.80107408,2.8862831399999997,1.4431415699999999,3.35669446,119.16698000000001
4,1.5,random,CT,CT-HM,clamped,HM,,0.2,0.0,1.27029189,155.27893340999998,2.8468951099999997,1.42344754,3.1755184400000003,121.87916
