n,step_ratio,pattern,family,method_label,threshold_mode,threshold_range,gain_scheme,feedback_noise_alpha,feedback_bias_alpha,R,R_abs,R2,R2_norm,R2_max_norm,avg_switch_noidle,R_clean,R_abs_clean,configuration,log_R_degradation,log_R_abs_degradation
4,1.5,random,CT,CT-HM,clamped,HM,-,0.0,0.0,1.26079748,157.14814404,2.81862823,1.40931407,2.79912747,116.2247,1.26079748,157.14814404,CT|HM|clamped|-,0.0,0.0
4,1.5,random,CT,CT-HM,clamped,HM,-,0.0,0.05,1.25934187,156.72598997,2.8172206,1.4086103600000002,2.8349239,116.65928,1.26079748,157.14814404,CT|HM|clamped|-,-0.001155182281384004,-0.002689959310512941
4,1.5,random,CT,CT-HM,clamped,HM,-,0.0,0.1,1.26235137,156.44244606,2.82666901,1.41333448,2.94012851,116.99568,1.26079748,157.14814404,CT|HM|clamped|-,0.0012317071158530893,-0.004500767520136058
4,1.5,random,CT,CT-HM,clamped,HM,-,0.0,0.2,1.28180437,156.29557752,2.8789903600000004,1.4394952,3.24360297,117.8233,1.26079748,157.14814404,CT|HM|clamped|-,0.01652430796187879,-0.005440010846648036
4,1.5,random,CT,CT-HM,clamped,HM,-,0.05,0.0,1.2615425,156.96756634,2.82063232,1.41031616,2.82635645,116.63174,1.26079748,157.14814404,CT|HM|clamped|-,0.0005907371944887005,-0.0011497528708396634
4,1.5,random,CT,CT-HM,clamped,HM,-,0.05,0.05,1.25997716,156.59094541000002,2.81874243,1.4093711999999998,2.86445338,116.97156,1.26079748,157.14814404,CT|HM|clamped|-,-0.0006508475735516996,-0.0035519910305590882
4,1.5,random,CT,CT-HM,clamped,HM,-,0.05,0.1,1.26303433,156.31931456,2.82821703,1.4141085000000002,2.96982643,117.35976,1.26079748,157.14814404,CT|HM|clamped|-,0.0017725829247641968,-0.005288149622842025
4,1.5,random,CT,CT-HM,clamped,HM,-,0.05,0.2,1.2828636700000002,156.16466993,2.88100062,1.44050024,3.27325943,118.11136,1.26079748,157.14814404,CT|HM|clamped|-,0.017350379830609722,-0.006277926061319688
4,1.5,random,CT,CT-HM,clamped,HM,-,0.1,0.0,1.26331924,156.62588161,2.8261610100000003,1.41308055,2.9179508499999995,117.56154,1.26079748,157.14814404,CT|HM|clamped|-,0.0019981333026614597,-0.0033289110608317306
4,1.5,random,CT,CT-HM,clamped,HM,-,0.1,0.05,1.261846,156.25442393,2.82441748,1.4122088,2.94687964,117.90096,1.26079748,157.14814404,CT|HM|clamped|-,0.0008312867582705454,-0.005703351688413595
4,1.5,random,CT,CT-HM,clamped,HM,-,0.1,0.1,1.26510077,156.00981558,2.8337858899999997,1.41689294,3.04936232,118.29988,1.26079748,157.14814404,CT|HM|clamped|-,0.0034073376973238756,-0.007270027401366588
4,1.5,random,CT,CT-HM,clamped,HM,-,0.1,0.2,1.28515503,155.80107408,2.8862831399999997,1.44314157,3.35669446,119.16698,1.26079748,157.14814404,CT|HM|clamped|-,0.019134915595931324,-0.008608925676606208
4,1.5,random,CT,CT-HM,clamped,HM,-,0.2,0.0,1.27029189,155.27893340999998,2.8468951099999997,1.42344754,3.1755184400000003,121.87916,1.26079748,157.14814404,CT|HM|clamped|-,0.0075022673197176065,-0.011965883036570243
4,1.5,random,CT,CT-HM,clamped,HM,-,0.2,0.05,1.26910324,154.86487174,2.84536837,1.42268418,3.19084347,122.29536,1.26079748,157.14814404,CT|HM|clamped|-,0.006566099432515103,-0.014636011597139452
4,1.5,random,CT,CT-HM,clamped,HM,-,0.2,0.1,1.27236767,154.59438835,2.85464405,1.42732198,3.29143407,122.65934,1.26079748,157.14814404,CT|HM|clamped|-,0.00913503050501361,-0.016384115427035845
4,1.5,random,CT,CT-HM,clamped,HM,-,0.2,0.2,1.2935022900000002,154.35981876,2.90766251,1.45383129,3.61031275,123.6077,1.26079748,157.14814404,CT|HM|clamped|-,0.025609051644277705,-0.017902590525763883
4,1.5,random,CT,CT-HM,clamped,HM,-,0.4,0.0,1.30010065,149.4578848,2.9292753699999996,1.46463774,3.87668526,139.77522000000002,1.26079748,157.14814404,CT|HM|clamped|-,0.03069724315888673,-0.0501743069356621
4,1.5,random,CT,CT-HM,clamped,HM,-,0.4,0.05,1.29924734,149.0941216,2.92798091,1.46399043,3.92074109,140.15962,1.26079748,157.14814404,CT|HM|clamped|-,0.030040686180801697,-0.052611157951308184
4,1.5,random,CT,CT-HM,clamped,HM,-,0.4,0.1,1.3033505500000002,148.7902099,2.9380166300000004,1.46900834,4.02729318,140.7367,1.26079748,157.14814404,CT|HM|clamped|-,0.03319385357207184,-0.054651626504418224
4,1.5,random,CT,CT-HM,clamped,HM,-,0.4,0.2,1.3259725800000002,148.43445535,2.99159014,1.49579506,4.35020262,141.99696,1.26079748,157.14814404,CT|HM|clamped|-,0.05040177142831575,-0.057045470363830224
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.0,0.0,1.70496999,214.32383594,3.64941135,1.82470562,2.7848401000000003,99.53092,1.70496999,214.32383594,CT|HT1|clamped|-,0.0,0.0
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.0,0.05,1.70456729,213.91038376,3.64529519,1.8226476,2.85586145,99.96094,1.70496999,214.32383594,CT|HT1|clamped|-,-0.00023621973822357238,-0.0019309634281763554
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.0,0.1,1.7114958999999998,213.50607598,3.65606336,1.82803161,2.9799413500000003,100.35126,1.70496999,214.32383594,CT|HT1|clamped|-,0.0038202740182257454,-0.0038228320793572534
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.0,0.2,1.74010155,212.75016188,3.72245826,1.86122911,3.28945009,101.35564,1.70496999,214.32383594,CT|HT1|clamped|-,0.02039596418484685,-0.007369594919544579
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.05,0.0,1.70722496,214.08966351,3.65253496,1.82626739,2.98207335,100.78066,1.70496999,214.32383594,CT|HT1|clamped|-,0.001321712482032504,-0.0010932076305826333
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.05,0.05,1.70673141,213.6659058,3.64870628,1.82435315,3.04239873,101.2086,1.70496999,214.32383594,CT|HT1|clamped|-,0.0010325758030900376,-0.003074516018025702
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.05,0.1,1.71244596,213.27343905,3.65901709,1.82950853,3.1680565400000003,101.63004,1.70496999,214.32383594,CT|HT1|clamped|-,0.0043752250443991674,-0.004913029452232439
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.05,0.2,1.73978286,212.49237668,3.72433882,1.86216939,3.48394765,102.65972,1.70496999,214.32383594,CT|HT1|clamped|-,0.020212802928125103,-0.008582009991896261
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.1,0.0,1.7120822999999998,213.4705151,3.65966746,1.82983373,3.24502167,103.25846,1.70496999,214.32383594,CT|HT1|clamped|-,0.004162839586457484,-0.003989402710277706
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.1,0.05,1.7106684200000002,213.06803231,3.65549271,1.82774639,3.29124116,103.69272,1.70496999,214.32383594,CT|HT1|clamped|-,0.0033366736187413907,-0.005876608037434771
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.1,0.1,1.71476294,212.63761624,3.66521716,1.83260863,3.40691271,104.19332,1.70496999,214.32383594,CT|HT1|clamped|-,0.005727334250810118,-0.007898738672209079
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.1,0.2,1.73905805,211.88642643,3.72826651,1.86413324,3.72789346,105.20674,1.70496999,214.32383594,CT|HT1|clamped|-,0.019796106661041306,-0.011437716532166659
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.2,0.0,1.7167623900000002,210.994134,3.67289438,1.83644717,3.73935468,110.84526,1.70496999,214.32383594,CT|HT1|clamped|-,0.006892676210430655,-0.015657791124059985
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.2,0.05,1.71433704,210.57279614,3.66797126,1.83398563,3.77953175,111.28534,1.70496999,214.32383594,CT|HT1|clamped|-,0.005478930876937064,-0.017656705033903514
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.2,0.1,1.71646106,210.16767055,3.67643507,1.83821751,3.87945703,111.76148,1.70496999,214.32383594,CT|HT1|clamped|-,0.006717138553087862,-0.0195824799344807
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.2,0.2,1.73492636,209.40758474,3.73435485,1.86717737,4.2018292100000005,112.95134,1.70496999,214.32383594,CT|HT1|clamped|-,0.017417459286467138,-0.023205604186395154
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.4,0.0,1.69646151,201.36379384,3.68402029,1.84201013,4.60623882,134.66812,1.70496999,214.32383594,CT|HT1|clamped|-,-0.005002892309609081,-0.06237493153558457
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.4,0.05,1.69370416,200.95418352,3.67916886,1.83958441,4.6365757,135.18808,1.70496999,214.32383594,CT|HT1|clamped|-,-0.006629568334567368,-0.06441118387617974
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.4,0.1,1.69482346,200.52005996,3.68622461,1.8431123,4.7280488400000005,135.74182000000002,1.70496999,214.32383594,CT|HT1|clamped|-,-0.0059689273918150905,-0.06657383184800633
4,1.5,random,CT,CT-HT1,clamped,HT1,-,0.4,0.2,1.70964302,199.6539814,3.73731367,1.86865681,5.04125847,137.2513,1.70496999,214.32383594,CT|HT1|clamped|-,0.0027370790796425047,-0.07090234805709036
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.0,0.0,1.53088035,191.26269431,3.28286908,1.6414345,2.79274308,101.4244,1.53088035,191.26269431,CT|HT2|clamped|-,0.0,0.0
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.0,0.05,1.52878707,190.84427346,3.27872678,1.6393634,2.85194907,101.7392,1.53088035,191.26269431,CT|HT2|clamped|-,-0.001368305792266176,-0.002190072689254379
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.0,0.1,1.53103651,190.49560199,3.28654903,1.6432745199999998,2.9719609200000003,102.169,1.53088035,191.26269431,CT|HT2|clamped|-,0.00010200146331572338,-0.004018738347427049
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.0,0.2,1.54567928,190.10387161,3.3386511000000003,1.66932564,3.28182393,102.8936,1.53088035,191.26269431,CT|HT2|clamped|-,0.009620515069871886,-0.006077230518322139
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.05,0.0,1.53082445,191.0565881,3.28385113,1.64192551,2.8611394999999997,101.86674,1.53088035,191.26269431,CT|HT2|clamped|-,-3.65156039903857e-05,-0.0010781890396276948
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.05,0.05,1.52879723,190.63989475,3.27978772,1.63989383,2.91447879,102.28968,1.53088035,191.26269431,CT|HT2|clamped|-,-0.0013616600229247123,-0.0032615652783852572
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.05,0.1,1.53061287,190.290129,3.2875672,1.6437836300000002,3.02885064,102.64718,1.53088035,191.26269431,CT|HT2|clamped|-,-0.00017473826101148187,-0.005097943754669547
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.05,0.2,1.54507383,189.89895886,3.33924109,1.66962054,3.33437753,103.46494,1.53088035,191.26269431,CT|HT2|clamped|-,0.009228733529129937,-0.007155710747577588
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.1,0.0,1.5300831199999998,190.53643578,3.28535345,1.64267672,3.00434956,103.45766,1.53088035,191.26269431,CT|HT2|clamped|-,-0.0005209013605291995,-0.0038044057658662505
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.1,0.05,1.52790101,190.11519289,3.28142124,1.64071062,3.04983769,103.82796,1.53088035,191.26269431,CT|HT2|clamped|-,-0.0019480574722727819,-0.006017679164587523
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.1,0.1,1.52942048,189.79397429,3.28901906,1.6445095800000002,3.15638597,104.26118,1.53088035,191.26269431,CT|HT2|clamped|-,-0.0009540696760435983,-0.007708707990925993
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.1,0.2,1.5433968100000002,189.33822355,3.34045317,1.67022662,3.45791992,105.11954,1.53088035,191.26269431,CT|HT2|clamped|-,0.008142746087255685,-0.010112887652371007
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.2,0.0,1.5258087,188.528335,3.2912147700000003,1.64560741,3.35557825,109.69464,1.53088035,191.26269431,CT|HT2|clamped|-,-0.003318397502017797,-0.014399532087226092
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.2,0.05,1.52322171,188.13234849,3.28705582,1.64352792,3.3958512,110.07518,1.53088035,191.26269431,CT|HT2|clamped|-,-0.0050153242445639375,-0.01650214949990091
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.2,0.1,1.52450386,187.78006691,3.29483911,1.6474195800000002,3.4927018,110.51288,1.53088035,191.26269431,CT|HT2|clamped|-,-0.004173942665947166,-0.018376424829450073
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.2,0.2,1.5380859,187.28792431999997,3.34551413,1.67275711,3.81017765,111.4959,1.53088035,191.26269431,CT|HT2|clamped|-,0.00469575919271574,-0.0210007110066302
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.4,0.0,1.51371963,180.84554725,3.32241968,1.6612099,4.16518732,131.50066,1.53088035,191.26269431,CT|HT2|clamped|-,-0.011273009160757932,-0.056004509119081496
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.4,0.05,1.51148711,180.42394525,3.31867494,1.65933752,4.2048229500000005,131.9153,1.53088035,191.26269431,CT|HT2|clamped|-,-0.012748954837964456,-0.058338512959122533
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.4,0.1,1.5131932,180.05516175,3.32639638,1.6631981999999998,4.30705144,132.42168,1.53088035,191.26269431,CT|HT2|clamped|-,-0.011620842107970764,-0.06038458787162472
4,1.5,random,CT,CT-HT2,clamped,HT2,-,0.4,0.2,1.5291351599999998,179.39334986000003,3.37613172,1.68806584,4.63528562,133.81655999999998,1.53088035,191.26269431,CT|HT2|clamped|-,-0.0011406414010083617,-0.06406696582822176
4,1.5,random,LFTA,LFTA-HM,clamped,HM,-,0.0,0.0,1.36634332,78.73173022,3.1477223600000004,1.57386121,5.334747599999999,118.91294,1.36634332,78.73173022,LFTA|HM|clamped|-,0.0,0.0
4,1.5,random,LFTA,LFTA-HM,clamped,HM,-,0.0,0.05,1.35628716,79.22521660000001,3.13411414,1.56705704,5.26255039,118.44674,1.36634332,78.73173022,LFTA|HM|clamped|-,-0.007387124917534118,0.0062483859748532385
4,1.5,random,LFTA,LFTA-HM,clamped,HM,-,0.0,0.1,1.35248696,80.19429226,3.1341959,1.56709797,5.36852094,117.65716,1.36634332,78.73173022,LFTA|HM|clamped|-,-0.01019297163994485,0.018406089928038934
4,1.5,random,LFTA,LFTA-HM,clamped,HM,-,0.0,0.2,1.3643832800000002,84.37453508,3.16873537,1.58436766,5.62643009,115.134,1.36634332,78.73173022,LFTA|HM|clamped|-,-0.0014355449107223866,0.06921938543067147
4,1.5,random,LFTA,LFTA-HM,clamped,HM,-,0.05,0.0,1.3573616899999998,78.86591056,3.13527224,1.56763611,5.31969611,118.18768,1.36634332,78.73173022,LFTA|HM|clamped|-,-0.006595180111440423,0.0017028220950311655
4,1.5,random,LFTA,LFTA-HM,clamped,HM,-,0.05,0.05,1.35339324,78.97125245000001,3.13021274,1.56510629,5.3202691600000005,118.37252,1.36634332,78.73173022,LFTA|HM|clamped|-,-0.009523111951487022,0.003037639620030638
4,1.5,random,LFTA,LFTA-HM,clamped,HM,-,0.05,0.1,1.35175975,80.24014668,3.1343138699999997,1.56715692,5.39248921,117.2879,1.36634332,78.73173022,LFTA|HM|clamped|-,-0.010730799800992554,0.018977718084082815
4,1.5,random,LFTA,LFTA-HM,clamped,HM,-,0.05,0.2,1.36331469,84.43010663999999,3.16640117,1.5832006,5.67168684,115.14616,1.36634332,78.73173022,LFTA|HM|clamped|-,-0.002219055450686264,0.06987779815488708
4,1.5,random,LFTA,LFTA-HM,clamped,HM,-,0.1,0.0,1.35158278,78.90743578,3.1292590799999997,1.56462957,5.34912874,117.73438,1.36634332,78.73173022,LFTA|HM|clamped|-,-0.010861726606078433,0.002229212919871083
4,1.5,random,LFTA,LFTA-HM,clamped,HM,-,0.1,0.05,1.34910487,78.85180442,3.12401089,1.56200547,5.32843555,117.56966,1.36634332,78.73173022,LFTA|HM|clamped|-,-0.012696748657090848,0.0015239437738556482
4,1.5,random,LFTA,LFTA-HM,clamped,HM,-,0.1,0.1,1.35078067,79.77208708,3.13098096,1.56549052,5.42667557,117.03886,1.36634332,78.73173022,LFTA|HM|clamped|-,-0.01145536253876949,0.013127403717592499
