n,step_ratio,pattern,family,method_label,threshold_mode,threshold_range,gain_scheme,feedback_noise_alpha,feedback_bias_alpha,R,R_abs,R2,R2_norm,R2_max_norm,avg_switch_noidle,R_comparator,R_abs_comparator,comparator,log_R_ratio,log_R_abs_ratio
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.0,0.0,1.21296897,151.4312083,2.6805888,1.34029437,2.4778716700000003,124.43918,1.26079748,157.14814404,CT,-0.038673392957434514,-0.037057501855038186
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.0,0.05,1.20253257,150.46946339,2.6711705699999997,1.33558531,2.54872995,125.85336,1.25934187,156.72598997,CT,-0.04615945123706562,-0.040738831206999865
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.0,0.1,1.20022353,149.88392183,2.69171154,1.34585577,2.72507122,127.5303,1.26235137,156.44244606,CT,-0.05046833405744785,-0.0428270454863215
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.0,0.2,1.24234628,149.79575048,2.82197202,1.410986,3.31792478,134.0882,1.28180437,156.29557752,CT,-0.03126699632534817,-0.042476239486002
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.05,0.0,1.21034704,151.06741707999998,2.68045356,1.34022677,2.50067959,124.86258,1.2615425,156.96756634,CT,-0.04142805017910093,-0.038312992280273676
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.05,0.05,1.20090866,150.15846627000002,2.67232031,1.33616015,2.5728127599999997,126.25638,1.25997716,156.59094541000002,CT,-0.04801510689824124,-0.04194578377122859
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.05,0.1,1.20003028,149.63838512,2.69357953,1.3467897300000002,2.7513364,127.9751,1.26303433,156.31931456,CT,-0.05117023450434704,-0.04367918577846602
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.05,0.2,1.24344489,149.59911974,2.82389629,1.41194808,3.33676585,134.53477999999998,1.2828636700000002,156.16466993,CT,-0.031209156395865998,-0.04295184556263864
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.1,0.0,1.20768681,150.46852941,2.68396824,1.3419841099999998,2.58698921,125.8747,1.26331924,156.62588161,CT,-0.04503577203811221,-0.040106086582549806
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.1,0.05,1.19919419,149.69675357,2.67642836,1.33821418,2.65245904,127.11428,1.261846,156.25442393,CT,-0.050925905248869405,-0.04287399641641339
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.1,0.1,1.20159266,149.25897294,2.69994124,1.34997065,2.83891777,128.9753,1.26510077,156.00981558,CT,-0.051503885598734,-0.04423605498817843
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.1,0.2,1.2468580299999998,149.24731056000002,2.8302646900000004,1.41513227,3.3999992700000004,135.52162,1.28515503,155.80107408,CT,-0.03025254600603579,-0.04297529496764607
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.2,0.0,1.20986701,149.46286804,2.70630404,1.35315208,2.8386738300000003,129.67168,1.27029189,155.27893340999998,CT,-0.0487362642309394,-0.03817508235319302
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.2,0.05,1.20393204,148.63625186,2.69980762,1.34990374,2.9204887100000003,130.98726,1.26910324,154.86487174,CT,-0.05271764071021509,-0.041050882938507345
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.2,0.1,1.21027065,148.20565561,2.72500347,1.3625017700000002,3.10658456,132.99876,1.27236767,154.59438835,CT,-0.05003545961105297,-0.04220396348444716
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.2,0.2,1.25960862,148.23158098,2.85606032,1.42803019,3.64650589,139.8161,1.2935022900000002,154.35981876,CT,-0.026552439369114316,-0.04051057533927247
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.4,0.0,1.24704941,146.16244667,2.81278256,1.40639127,3.5983868,146.03094,1.30010065,149.4578848,CT,-0.041661395539048074,-0.022295994521951877
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.4,0.05,1.24383594,145.3358026,2.8077389900000003,1.40386949,3.68235995,147.47918,1.29924734,149.0941216,CT,-0.043585022978336094,-0.025530850201244217
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.4,0.1,1.25294547,144.7892276,2.83178491,1.4158924300000002,3.87618473,149.80574,1.3033505500000002,148.7902099,CT,-0.03944113954673195,-0.027258244395152172
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.4,0.2,1.30746474,144.36429844,2.9600053500000003,1.48000272,4.43214947,157.80698,1.3259725800000002,148.43445535,CT,-0.014056263718739782,-0.02780352752280587
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.0,0.0,1.16049951,145.33506301,2.63332624,1.31666315,2.43806689,125.40232,1.26079748,157.14814404,CT,-0.08289391688804681,-0.07814709700105765
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.0,0.05,1.15822941,144.51355169,2.6305268,1.31526346,2.49890223,126.39622,1.25934187,156.72598997,CT,-0.08369679076899673,-0.08112570726869632
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.0,0.1,1.1653456,143.78077392,2.65081387,1.32540694,2.6581587100000004,127.8269,1.26235137,156.44244606,CT,-0.07995845311880133,-0.08439844932677472
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.0,0.2,1.20456062,143.31075981,2.75340089,1.37670045,3.12788675,131.78488,1.28180437,156.29557752,CT,-0.06215387960711018,-0.08673352429044721
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.05,0.0,1.16170392,145.10885722999998,2.6355633899999997,1.31778166,2.47081201,125.72634,1.2615425,156.96756634,CT,-0.08244735468625099,-0.0785549999114087
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.05,0.05,1.15928021,144.36482526,2.6329134900000004,1.3164568,2.53277627,126.72648,1.25997716,156.59094541000002,CT,-0.08329428991252992,-0.08129335762254454
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.05,0.1,1.16627958,143.68224229999998,2.65276616,1.32638311,2.68849276,128.194,1.26303433,156.31931456,CT,-0.07969818811145594,-0.08429659279291844
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.05,0.2,1.20569608,143.20651655,2.75493365,1.37746682,3.1497529500000003,132.09234,1.2828636700000002,156.16466993,CT,-0.062037761306638156,-0.08662326686956705
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.1,0.0,1.16408762,144.67132179,2.64134147,1.32067084,2.56092098,126.61578,1.26331924,156.62588161,CT,-0.08180495330085572,-0.07939561880880781
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.1,0.05,1.16152944,143.98857484,2.63839699,1.31919844,2.61798928,127.66124,1.261846,156.25442393,CT,-0.08283810870502387,-0.08175164632828384
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.1,0.1,1.16872062,143.31882116999998,2.6580330199999995,1.3290165099999998,2.76937156,129.14114,1.26510077,156.00981558,CT,-0.07924211574895813,-0.08484725841230209
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.1,0.2,1.2087733900000002,142.90048136,2.7598861900000005,1.3799431000000002,3.2296184699999997,133.23064,1.28515503,155.80107408,CT,-0.06127323881753032,-0.08643157393991316
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.2,0.0,1.17258123,143.18336627,2.6632608,1.33163042,2.8220568100000003,130.78658,1.27029189,155.27893340999998,CT,-0.08003921045193975,-0.08109697957218688
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.2,0.05,1.17041736,142.45019904999998,2.6605897800000005,1.33029484,2.89219342,131.85906,1.26910324,154.86487174,CT,-0.08095013767136904,-0.08356048318363705
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.2,0.1,1.17781442,141.90480963,2.67952181,1.33976089,3.03993498,133.30578,1.27236767,154.59438835,CT,-0.07721893727491949,-0.08564835953431649
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.2,0.2,1.21949073,141.56118936,2.78038886,1.39019441,3.47959235,137.65676,1.2935022900000002,154.35981876,CT,-0.05892015586386165,-0.08655430527996288
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.4,0.0,1.20844898,137.40671415,2.75098861,1.37549431,3.5569619,148.12294,1.30010065,149.4578848,CT,-0.07310398190234597,-0.08406940180557004
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.4,0.05,1.20657188,136.7235123,2.7480277,1.37401378,3.63538478,149.20402,1.29924734,149.0941216,CT,-0.07400194597134331,-0.08661706689660985
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.4,0.1,1.21455098,136.22746385,2.76620594,1.38310301,3.79548528,150.76702,1.3033505500000002,148.7902099,CT,-0.07056385025960914,-0.08821130962469706
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.4,0.2,1.25834987,136.0859233,2.86404632,1.43202314,4.2427902799999995,155.67774,1.3259725800000002,148.43445535,CT,-0.05234497714845029,-0.08685700748027471
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.0,0.0,1.21549414,151.62568692000002,2.67485566,1.33742781,2.44390392,125.00736,1.26079748,157.14814404,CT,-0.03659374768738775,-0.03577405541469349
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.0,0.05,1.20319589,150.54466341,2.6652144,1.33260717,2.53035508,126.76866,1.25934187,156.72598997,CT,-0.04560800079048503,-0.04023918673938718
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.0,0.1,1.19699689,149.84801766,2.68516726,1.34258357,2.7356748,129.10412,1.26235137,156.44244606,CT,-0.05316032009397969,-0.04306662068963685
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.0,0.2,1.24275219,149.45103271,2.82632896,1.41316449,3.39162948,138.52078,1.28180437,156.29557752,CT,-0.030940321138421052,-0.04478014343313661
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.05,0.0,1.21406877,151.33663264999998,2.67590111,1.33795056,2.47242391,125.40374,1.2615425,156.96756634,CT,-0.03835784010364588,-0.03653248939770706
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.05,0.05,1.20211692,150.31734455,2.6666832,1.33334158,2.55661094,127.12138,1.25997716,156.59094541000002,CT,-0.04700949121784373,-0.04088827239037607
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.05,0.1,1.19725739,149.69663209,2.68743649,1.34371823,2.75449197,129.39228,1.26303433,156.31931456,CT,-0.05348359161315092,-0.04329000998955862
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.05,0.2,1.2450156,149.31235326,2.82996506,1.41498248,3.4264748700000003,139.00924,1.2828636700000002,156.16466993,CT,-0.02994676126047389,-0.044870584680283515
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.1,0.0,1.21213829,150.92129982,2.6807946900000004,1.34039734,2.5585856899999997,126.40136,1.26331924,156.62588161,CT,-0.04135659289297357,-0.03710153429380227
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.1,0.05,1.20144615,149.93448783,2.6725645100000004,1.33628229,2.6327317,128.01674,1.261846,156.25442393,CT,-0.0490497719330795,-0.04128715047354458
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.1,0.1,1.19966535,149.37435389,2.6952631200000003,1.3476315600000002,2.8422411,130.46914,1.26510077,156.00981558,CT,-0.05310913618474852,-0.04346332840092176
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.1,0.2,1.25001115,149.09367211999998,2.83887776,1.41943889,3.49887227,140.1116,1.28515503,155.80107408,CT,-0.027726885710020313,-0.044005247019164855
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.2,0.0,1.21511946,150.08487068,2.70709714,1.35354857,2.8130143500000004,130.2717,1.27029189,155.27893340999998,CT,-0.04440431576125868,-0.03402213139698806
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.2,0.05,1.20749836,149.13268806,2.70052456,1.35026231,2.90366358,131.89064,1.26910324,154.86487174,CT,-0.04975979245541627,-0.037716507902052575
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.2,0.1,1.2106797,148.55796444,2.7250502599999997,1.36252507,3.1066735199999997,134.56632,1.27236767,154.59438835,CT,-0.049697534462036605,-0.039829622617111544
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.2,0.2,1.26490038,148.22538736,2.8691261,1.43456306,3.72840885,144.68254,1.2935022900000002,154.35981876,CT,-0.022360124942473986,-0.04055235961599608
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.4,0.0,1.25507373,147.60228029,2.82532937,1.41266474,3.5842015500000004,146.31592,1.30010065,149.4578848,CT,-0.03524736468532624,-0.01249328495417567
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.4,0.05,1.25068027,146.64388087,2.81886841,1.40943418,3.67198954,148.1159,1.29924734,149.0941216,CT,-0.03809750828692991,-0.01657072663441314
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.4,0.1,1.2591989,145.80346901,2.84326988,1.42163495,3.89311129,151.30124,1.3033505500000002,148.7902099,CT,-0.034462569850488324,-0.02027771432465819
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.4,0.2,1.31747448,145.16084867,2.98249212,1.49124603,4.50805755,162.62482,1.3259725800000002,148.43445535,CT,-0.006429581590027491,-0.022301053919203468
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.0,0.0,1.115062,139.94107222,2.55573563,1.27786781,2.27651251,129.8194,1.26079748,157.14814404,CT,-0.12283443264118957,-0.11596753176971784
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.0,0.05,1.11400905,139.12258917,2.5542773199999997,1.27713857,2.33264246,130.87814,1.25934187,156.72598997,CT,-0.12262399375712056,-0.11914351281755366
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.0,0.1,1.12222814,138.40889993000002,2.57399244,1.28699625,2.48225144,132.13872,1.26235137,156.44244606,CT,-0.11766002873995135,-0.12247583856734079
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.0,0.2,1.16148777,137.92139867,2.66930144,1.3346506500000002,2.91731394,135.84619999999998,1.28180437,156.29557752,CT,-0.09856700566523453,-0.12506499417671152
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.05,0.0,1.11662135,139.68469957,2.55834627,1.27917316,2.30967007,130.21712,1.2615425,156.96756634,CT,-0.12202770432716653,-0.11665146339937645
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.05,0.05,1.11493537,138.97416345,2.5563515100000003,1.27817579,2.36767254,131.13972,1.25997716,156.59094541000002,CT,-0.12229715470842717,-0.11934892063209408
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.05,0.1,1.12306513,138.33287998,2.57587538,1.28793761,2.51414797,132.47082,1.26303433,156.31931456,CT,-0.11745535380058979,-0.12223784912906627
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.05,0.2,1.1628865,137.79218074,2.6713142800000003,1.3356571199999998,2.94629656,136.22274,1.2828636700000002,156.16466993,CT,-0.09818954487841144,-0.12516441356657693
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.1,0.0,1.11937958,139.25636104,2.56434257,1.28217127,2.4011477,131.15008,1.26331924,156.62588161,CT,-0.12096798929775256,-0.1175434835130889
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.1,0.05,1.11771116,138.54866303,2.56247736,1.28123866,2.46009272,132.0586,1.261846,156.25442393,CT,-0.12129274099701083,-0.12026397983461233
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.1,0.1,1.1256893,137.95778288,2.58110822,1.29055412,2.60854017,133.47835999999998,1.26510077,156.00981558,CT,-0.11675621994915941,-0.12297120846038734
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.1,0.2,1.16594993,137.52852493,2.6761719499999996,1.3380859799999998,3.0302500400000003,137.2839,1.28515503,155.80107408,CT,-0.09734321165912735,-0.12474867775213193
