comparator,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_ratio,ci_low_log_R_ratio,ci_high_log_R_ratio,median_log_R_abs_ratio,ci_low_log_R_abs_ratio,ci_high_log_R_abs_ratio,median_R_ratio_reduction_percent,ci_low_R_ratio_reduction_percent,ci_high_R_ratio_reduction_percent,median_R_abs_ratio_reduction_percent,ci_low_R_abs_ratio_reduction_percent,ci_high_R_abs_ratio_reduction_percent,R_pta_lower,R_abs_pta_lower
CT,0.0,0.0,288,24,-0.35661095187452896,-0.46536641258911704,-0.19515881839535912,-0.07946788306086192,-0.1093483484348516,-0.0632171436636575,29.995520412178255,17.72960128472737,37.2095009259577,7.639231705599759,6.126038980207715,10.358190273789292,0.8541666666666666,0.8333333333333334
CT,0.0,0.05,288,24,-0.34326428828441835,-0.44458310725275935,-0.17864363754830243,-0.08191835570583501,-0.11127024890555656,-0.06020452663989402,29.054931272395514,16.359609075817094,35.89085132795188,7.8652821634263015,5.842806265517442,10.5303074610662,0.9027777777777778,0.8298611111111112
CT,0.0,0.1,288,24,-0.30105775852590533,-0.39712853289552563,-0.1360700390371372,-0.058961588616499486,-0.074589715811189,-0.029402467092856703,25.996497182005808,12.721849842803223,32.775238585293955,5.725701947620177,2.8974420029452497,7.187579709207825,0.9236111111111112,0.6909722222222222
CT,0.0,0.2,288,24,-0.19361044020304444,-0.3180664028158535,-0.05376218289211477,0.09505711558232968,-0.051214352073403295,0.20870825840525523,17.602116921950063,5.234255114064402,27.244552485529184,-9.972166457565956,-23.20854955044913,4.9925001841334975,0.7534722222222222,0.4409722222222222
CT,0.05,0.0,288,24,-0.326857539363951,-0.43888129627315736,-0.17945497875872005,-0.08802234819946236,-0.11620206190791812,-0.07336722097863971,27.88135236071603,16.427442450102237,35.524268981689175,8.425958865472417,7.074047622950963,10.970468964771207,0.8541666666666666,0.8020833333333334
CT,0.05,0.05,288,24,-0.32068669585157594,-0.42418783528753684,-0.16824404511347643,-0.07356447372389337,-0.107097142396083,-0.05534226165330341,27.434943528865386,15.485244461610314,34.56990304451707,7.092375714470034,5.383874218733253,10.15616077071142,0.9027777777777778,0.8090277777777778
CT,0.05,0.1,288,24,-0.30303398954936045,-0.38643082303409154,-0.1353246286354317,-0.05927209446509799,-0.07369574127014936,-0.020282272304277083,26.142600785331805,12.65676754833831,32.05222720435078,5.754970124332781,2.0077970585117066,7.104570669920019,0.9166666666666666,0.6666666666666666
CT,0.05,0.2,288,24,-0.17996285110480492,-0.31299216947602715,-0.05309478099004225,0.09098651461071089,-0.05187801085006394,0.20834919303397184,16.469875864682425,5.170987165450014,26.874436133872837,-9.525423522914323,-23.164317568421254,5.055531827169835,0.75,0.4340277777777778
CT,0.1,0.0,288,24,-0.30080151438626457,-0.4017753092947191,-0.1657659988706695,-0.0810839413778352,-0.10884661843613244,-0.06794656039727379,25.977531788314078,15.275553284274023,33.086892366576805,7.788371551561379,6.568959858018553,10.313203003922478,0.875,0.7951388888888888
CT,0.1,0.05,288,24,-0.3003896058677451,-0.3944850370261651,-0.15391095461717508,-0.07408949215814217,-0.09005910460797836,-0.04563363291231694,25.94703502258825,14.265163947445636,32.59729511338239,7.141141127411665,4.460807776397557,8.612283067688498,0.90625,0.7708333333333334
CT,0.1,0.1,288,24,-0.27510790200087676,-0.3688469780931941,-0.11723560091703733,-0.06426937430714713,-0.07661944882949562,-0.037835887980340516,24.05098317053077,11.062436923636465,30.846877821945107,6.224764088717317,3.7129053378753385,7.375773087414039,0.9166666666666666,0.7083333333333334
CT,0.1,0.2,288,24,-0.18004091904253466,-0.31087027649513094,-0.05138248671638043,0.07458321328545614,-0.04975295875401507,0.20912538779173973,16.476396634677137,5.008472893374682,26.719106775323365,-7.7434996697976155,-23.25995417757769,4.8535553568179735,0.7430555555555556,0.4270833333333333
CT,0.2,0.0,288,24,-0.2301464647519153,-0.34241801804817645,-0.13611293995427567,-0.086775047563481,-0.116448226330507,-0.06316549772554851,20.5582760141924,12.725594075175039,28.99486716067289,8.311667242536469,6.121190646229547,10.992382170635363,0.8645833333333334,0.7743055555555556
CT,0.2,0.05,288,24,-0.2327545626452045,-0.34818610865033195,-0.1202301848843373,-0.07902145660520538,-0.0961117805508328,-0.04869324975493525,20.765197853659057,11.32836954660118,29.40325226668553,7.597990210206007,4.752674370395205,9.163752686405358,0.8958333333333334,0.78125
CT,0.2,0.1,288,24,-0.21291252096466973,-0.3298210139218235,-0.09564943604543631,-0.052939817759722695,-0.07776482538525983,-0.0290102395275603,19.177316297190107,9.121745336383647,28.094757771210553,5.156291016641223,2.8593482328130304,7.481801972324497,0.8611111111111112,0.6909722222222222
CT,0.2,0.2,288,24,-0.16191900440407614,-0.25997593383157275,-0.03813937033868872,0.031907903337337444,-0.05058371612463539,0.19449840260683005,14.94899106779627,3.742122338795484,22.892985771581287,-3.2422418267405773,-21.470154252754604,4.9325661430529415,0.7326388888888888,0.4583333333333333
CT,0.4,0.0,288,24,-0.19533360594164506,-0.28542197176765993,-0.09141891431675783,-0.07859317758086104,-0.11360229293505225,-0.05488275106065242,17.74397986921542,8.73646851900929,24.830300752234024,7.5584078920725055,5.340387116074197,10.738711625079954,0.7777777777777778,0.7534722222222222
CT,0.4,0.05,288,24,-0.177059498346103,-0.2767536902787986,-0.07748084823958613,-0.06861350385558401,-0.10544619190736354,-0.04322202387250434,16.22700605057207,7.4555251876991635,24.175876370075823,6.631252303965662,4.23012655211259,10.007710532148895,0.7743055555555556,0.7465277777777778
CT,0.4,0.1,288,24,-0.1655180121736064,-0.25377934896784965,-0.05812379988703985,-0.042987342205846726,-0.08022969981364414,-0.008886729935715798,15.254540143190454,5.646686908901377,22.413702187237682,4.207648481103831,0.8847359661887211,7.709566891523123,0.75,0.6319444444444444
CT,0.4,0.2,288,24,-0.09423291847123001,-0.18443684332841878,-0.008306854626517332,0.06077278468998258,-0.01878121641310629,0.16329577128697342,8.992923473863657,0.8272448045692382,16.842754241043465,-6.265743471584639,-17.73848748340372,1.8605948332531597,0.6527777777777778,0.4236111111111111
LFTA,0.0,0.0,288,24,-0.7162281981905401,-0.8796433611186262,-0.5529646107340626,-0.09404435187113977,-0.22325093124485723,-0.0690276471513593,51.14083442552043,42.47580883420584,58.50691342232602,8.975760960771462,6.669912338909201,20.00858993325033,0.96875,0.8194444444444444
LFTA,0.0,0.05,288,24,-0.6976689621929142,-0.8605580004683019,-0.5275708892694155,-0.10177020765259398,-0.2531241970995122,-0.08086848133679235,50.22557868850528,40.99635057117301,57.707397645577394,9.676291520681946,7.768501489785962,22.36285472468197,0.9722222222222222,0.8125
