family,method_label,threshold_mode,threshold_range,gain_scheme,rows
CT,CT-HM,clamped,HM,,48000
CT,CT-HT1,clamped,HT1,,48000
CT,CT-HT2,clamped,HT2,,48000
LFTA,LFTA-HM,clamped,HM,,48000
LFTA,LFTA-HT1,clamped,HT1,,48000
LFTA,LFTA-HT2,clamped,HT2,,48000
PTA,PTA-HM,clamped,HM,Global,48000
PTA,PTA-HM,latent,HM,Global,48000
PTA,PTA-HM-AgentPID,clamped,HM,Agent,48000
PTA,PTA-HM-AgentPID,latent,HM,Agent,48000
PTA,PTA-HT1,clamped,HT1,Global,48000
PTA,PTA-HT1,latent,HT1,Global,48000
PTA,PTA-HT1-AgentPID,clamped,HT1,Agent,48000
PTA,PTA-HT1-AgentPID,latent,HT1,Agent,48000
PTA,PTA-HT2,clamped,HT2,Global,48000
PTA,PTA-HT2,latent,HT2,Global,48000
PTA,PTA-HT2-AgentPID,clamped,HT2,Agent,48000
PTA,PTA-HT2-AgentPID,latent,HT2,Agent,48000
SBTA,SBTA-HM,clamped,HM,,48000
SBTA,SBTA-HT1,clamped,HT1,,48000
SBTA,SBTA-HT2,clamped,HT2,,48000
SETA,SETA-HM,clamped,HM,,48000
SETA,SETA-HM,latent,HM,,48000
SETA,SETA-HT1,clamped,HT1,,48000
SETA,SETA-HT1,latent,HT1,,48000
SETA,SETA-HT2,clamped,HT2,,48000
SETA,SETA-HT2,latent,HT2,,48000
