t,signed_target_increment_over_LT,normalized_net_recruited_service,mean_stored_threshold_task1,mean_stored_threshold_task3
0,0.9486833413441976,0.264,4.570536136627197,5.120258808135986
1,0.9486833413441976,1.136,4.232266902923584,5.265167236328125
2,0.9486833413441976,0.9,4.156871795654297,5.393461227416992
3,0.9486833413441976,0.98,4.0105061531066895,5.526079177856445
4,0.9486833413441976,1.02,3.8895070552825928,5.655921936035156
5,0.9486833413441976,0.9,3.7861270904541016,5.77944278717041
6,0.9486833413441976,1.004,3.6445350646972656,5.907285213470459
7,0.9486833413441976,0.976,3.5372180938720703,6.030224800109863
8,0.9486833413441976,0.98,3.424412965774536,6.1507439613342285
9,0.9486833413441976,0.928,3.3155128955841064,6.268488883972168
10,0.9486833413441976,1.004,3.190088987350464,6.388071060180664
11,0.9486833413441976,0.94,3.091032028198242,6.502749919891357
12,0.9486833413441976,0.988,2.9731268882751465,6.618203163146973
13,0.9486833413441976,0.928,2.872262954711914,6.730169773101807
14,0.9486833413441976,1.02,2.7526168823242188,6.843975067138672
15,0.9486833413441976,0.94,2.665276050567627,6.9514570236206055
16,0.9486833413441976,0.976,2.5545690059661865,7.059711933135986
17,0.9486833413441976,0.976,2.456449031829834,7.16554594039917
18,0.9486833413441976,0.956,2.3607499599456787,7.268959045410156
19,0.9486833413441976,0.98,2.2600491046905518,7.371726036071777
20,0.9486833413441976,0.932,2.1689019203186035,7.47171688079834
21,0.9486833413441976,0.976,2.0627169609069824,7.573191165924072
22,0.9486833413441976,0.98,1.971379041671753,7.672244071960449
23,0.9486833413441976,0.88,1.8839459419250488,7.768520832061768
24,0.9486833413441976,0.988,1.7621769905090332,7.870893955230713
25,0.9486833413441976,0.996,1.6743930578231812,7.969780921936035
26,0.9486833413441976,0.92,1.5930639505386353,8.064472198486328
27,0.9486833413441976,0.96,1.487725019454956,8.161709785461426
28,0.9486833413441976,0.936,1.3946850299835205,8.257946968078613
29,0.9486833413441976,0.968,1.2937389612197876,8.355311393737793
30,0.9486833413441976,0.968,1.2035419940948486,8.450963020324707
31,0.9486833413441976,0.948,1.115056037902832,8.544903755187988
32,0.9486833413441976,0.968,1.020859956741333,8.638908386230469
33,0.9486833413441976,0.964,0.9340230226516724,8.731199264526367
34,0.9486833413441976,0.892,0.8474140167236328,8.822134017944336
35,0.9486833413441976,1.044,0.7354410290718079,8.918100357055664
36,0.9486833413441976,0.924,0.6748480200767517,9.005611419677734
37,0.9486833413441976,0.936,0.5781739950180054,9.095314025878906
38,0.9486833413441976,0.992,0.4837619960308075,9.18614387512207
39,0.9486833413441976,0.944,0.4090070128440857,9.27313232421875
40,0.9486833413441976,0.932,0.32027798891067505,9.3605375289917
41,0.9486833413441976,0.98,0.2266789972782135,9.44942569732666
42,0.9486833413441976,0.944,0.14941200613975525,9.535536766052246
43,0.9486833413441976,0.94,0.06156099960207939,9.622064590454102
44,0.9486833413441976,0.948,-0.02819100022315979,9.709364891052246
45,0.9486833413441976,0.964,-0.11574599891901016,9.796727180480957
46,0.9486833413441976,0.948,-0.1974249929189682,9.882732391357422
47,0.9486833413441976,0.968,-0.28368499875068665,9.968798637390137
48,0.9486833413441976,0.984,-0.36258500814437866,10.053153991699219
49,0.9486833413441976,0.912,-0.4338339865207672,10.134376525878906
50,0.9486833413441976,0.956,-0.528672993183136,10.218855857849121
51,0.9486833413441976,0.96,-0.6104379892349243,10.30268669128418
52,0.9486833413441976,0.976,-0.6900699734687805,10.385515213012695
53,0.9486833413441976,0.94,-0.7627620100975037,10.465922355651855
54,0.9486833413441976,0.968,-0.8463919758796692,10.547100067138672
55,0.9486833413441976,0.96,-0.920403003692627,10.626564979553223
56,0.9486833413441976,0.924,-0.9956700205802917,10.70502758026123
57,0.9486833413441976,0.94,-1.0832940340042114,10.78568172454834
58,0.9486833413441976,0.96,-1.1671719551086426,10.867107391357422
59,0.9486833413441976,0.956,-1.2443979978561401,10.947529792785645
60,0.9486833413441976,0.936,-1.3221060037612915,11.027303695678711
61,0.9486833413441976,0.976,-1.4065890312194824,11.10820484161377
62,0.9486833413441976,0.928,-1.4773529767990112,11.186683654785156
63,0.9486833413441976,0.928,-1.5635089874267578,11.266998291015625
64,0.9486833413441976,0.984,-1.6515010595321655,11.349148750305176
65,0.9486833413441976,0.944,-1.720546007156372,11.428167343139648
66,0.9486833413441976,0.96,-1.8013030290603638,11.50760269165039
67,0.9486833413441976,0.92,-1.876539945602417,11.586034774780273
68,0.9486833413441976,0.96,-1.9656180143356323,11.667013168334961
69,0.9486833413441976,0.968,-2.0423970222473145,11.746988296508789
70,0.9486833413441976,0.928,-2.115204095840454,11.825249671936035
71,0.9486833413441976,0.952,-2.201143980026245,11.905348777770996
72,0.9486833413441976,0.912,-2.2800118923187256,11.985154151916504
73,0.9486833413441976,1.004,-2.373431921005249,12.068214416503906
74,0.9486833413441976,0.94,-2.435965061187744,12.146368026733398
75,0.9486833413441976,0.928,-2.5173420906066895,12.22529411315918
76,0.9486833413441976,0.956,-2.603945016860962,12.306055068969727
77,0.9486833413441976,0.936,-2.6819911003112793,12.386167526245117
78,0.9486833413441976,0.968,-2.766813039779663,12.4674072265625
79,0.9486833413441976,0.976,-2.84088397026062,12.546934127807617
80,0.9486833413441976,0.912,-2.910274028778076,12.624037742614746
81,0.9486833413441976,0.932,-3.000993013381958,12.704398155212402
82,0.9486833413441976,0.984,-3.0875449180603027,12.786237716674805
83,0.9486833413441976,0.952,-3.1562790870666504,12.864946365356445
84,0.9486833413441976,0.936,-3.2337570190429688,12.943361282348633
85,0.9486833413441976,0.952,-3.316879987716675,13.02290153503418
86,0.9486833413441976,0.932,-3.395190954208374,13.10214900970459
87,0.9486833413441976,0.964,-3.480631113052368,13.182877540588379
88,0.9486833413441976,0.924,-3.5556750297546387,13.262248039245605
89,0.9486833413441976,0.976,-3.644207000732422,13.343809127807617
90,0.9486833413441976,0.96,-3.7156310081481934,13.422947883605957
91,0.9486833413441976,0.94,-3.7905709743499756,13.501083374023438
92,0.9486833413441976,0.928,-3.871929883956909,13.57999038696289
93,0.9486833413441976,0.944,-3.958513021469116,13.66073226928711
94,0.9486833413441976,0.976,-4.040994167327881,13.741889953613281
95,0.9486833413441976,0.936,-4.112016201019287,13.820626258850098
96,0.9486833413441976,0.928,-4.195459842681885,13.900487899780273
97,0.9486833413441976,0.972,-4.282999038696289,13.982186317443848
98,0.9486833413441976,0.956,-4.356043815612793,14.061816215515137
99,0.9486833413441976,0.94,-4.432959079742432,14.14079761505127
100,0.9486833413441976,0.96,-4.515163898468018,14.220550537109375
101,0.9486833413441976,0.952,-4.590717792510986,14.299300193786621
102,0.9486833413441976,0.928,-4.668237209320068,14.377756118774414
103,0.9486833413441976,0.964,-4.754370212554932,14.458047866821289
104,0.9486833413441976,0.948,-4.828978061676025,14.536980628967285
105,0.9486833413441976,0.932,-4.908164978027344,14.615976333618164
106,0.9486833413441976,0.956,-4.993352890014648,14.696452140808105
107,0.9486833413441976,0.956,-5.0711140632629395,14.77627944946289
108,0.9486833413441976,0.96,-5.148225784301758,14.85545825958252
109,0.9486833413441976,0.936,-5.223206043243408,14.933632850646973
110,0.9486833413441976,0.944,-5.306088924407959,15.012934684753418
111,0.9486833413441976,0.956,-5.387128829956055,15.092652320861816
112,0.9486833413441976,0.952,-5.464131832122803,15.171721458435059
113,0.9486833413441976,0.944,-5.541971206665039,15.250496864318848
114,0.9486833413441976,0.936,-5.622485160827637,15.329689025878906
115,0.9486833413441976,0.968,-5.706384181976318,15.410005569458008
116,0.9486833413441976,0.932,-5.779533863067627,15.488611221313477
117,0.9486833413441976,0.952,-5.864329814910889,15.568696022033691
118,0.9486833413441976,0.956,-5.943184852600098,15.648487091064453
119,0.9486833413441976,0.944,-6.020261764526367,15.727629661560059
120,0.9486833413441976,0.972,-6.101143836975098,15.807188987731934
121,0.9486833413441976,0.92,-6.1720499992370605,15.88468074798584
122,0.9486833413441976,0.952,-6.260187149047852,15.964716911315918
123,0.9486833413441976,0.952,-6.338993072509766,16.04446029663086
124,0.9486833413441976,0.928,-6.417506217956543,16.12390899658203
125,0.9486833413441976,0.976,-6.504631042480469,16.2051944732666
126,0.9486833413441976,0.956,-6.575778961181641,16.284055709838867
127,0.9486833413441976,0.932,-6.651926040649414,16.362268447875977
128,0.9486833413441976,0.952,-6.736330986022949,16.44196319580078
129,0.9486833413441976,0.944,-6.814795017242432,16.5213623046875
130,0.9486833413441976,0.968,-6.895934104919434,16.601179122924805
131,0.9486833413441976,0.92,-6.9685821533203125,16.679283142089844
132,0.9486833413441976,0.96,-7.057331085205078,16.759931564331055
133,0.9486833413441976,0.96,-7.133780002593994,16.839576721191406
134,0.9486833413441976,0.948,-7.209225177764893,16.918216705322266
135,0.9486833413441976,0.948,-7.288121223449707,16.996919631958008
136,0.9486833413441976,0.944,-7.367076873779297,17.07568359375
137,0.9486833413441976,0.916,-7.447579860687256,17.154863357543945
138,0.9486833413441976,0.984,-7.5388898849487305,17.236942291259766
139,0.9486833413441976,0.948,-7.607862949371338,17.315889358520508
140,0.9486833413441976,0.964,-7.687064170837402,17.394899368286133
141,0.9486833413441976,0.896,-7.7603888511657715,17.472549438476562
142,0.9486833413441976,0.984,-7.857591152191162,17.554872512817383
143,0.9486833413441976,0.94,-7.926808834075928,17.634065628051758
144,0.9486833413441976,0.976,-8.009223937988281,17.714027404785156
145,0.9486833413441976,0.92,-8.079049110412598,17.791566848754883
146,0.9486833413441976,0.952,-8.167234420776367,17.87165069580078
147,0.9486833413441976,0.972,-8.246088027954102,17.95144271850586
148,0.9486833413441976,0.908,-8.31722640991211,18.029165267944336
149,0.9486833413441976,0.988,-8.41004753112793,18.110498428344727
150,0.9486833413441976,0.932,-8.476790428161621,18.18834114074707
151,0.9486833413441976,0.92,-8.560826301574707,18.267667770385742
152,0.9486833413441976,0.996,-8.650796890258789,18.349538803100586
153,0.9486833413441976,0.932,-8.715107917785645,18.42721176147461
154,0.9486833413441976,0.92,-8.798973083496094,18.506366729736328
155,0.9486833413441976,0.972,-8.888772964477539,18.588064193725586
156,0.9486833413441976,0.976,-8.96181869506836,18.667694091796875
157,0.9486833413441976,0.924,-9.031311988830566,18.744903564453125
158,0.9486833413441976,0.968,-9.117680549621582,18.82430076599121
159,0.9486833413441976,0.916,-9.189909934997559,18.90198516845703
160,0.9486833413441976,0.956,-9.279725074768066,18.98257064819336
161,0.9486833413441976,0.968,-9.357593536376953,19.0625057220459
162,0.9486833413441976,0.916,-9.4303617477417,19.140729904174805
163,0.9486833413441976,0.992,-9.520713806152344,19.221851348876953
164,0.9486833413441976,0.908,-9.585761070251465,19.299131393432617
165,0.9486833413441976,0.944,-9.678139686584473,19.380020141601562
166,0.9486833413441976,0.968,-9.760767936706543,19.461326599121094
167,0.9486833413441976,0.968,-9.834905624389648,19.540918350219727
168,0.9486833413441976,0.956,-9.907328605651855,19.618797302246094
169,0.9486833413441976,0.896,-9.98249340057373,19.696027755737305
170,0.9486833413441976,0.972,-10.079276084899902,19.777931213378906
171,0.9486833413441976,0.976,-10.15252685546875,19.857769012451172
172,0.9486833413441976,0.936,-10.2222261428833,19.935182571411133
173,0.9486833413441976,0.96,-10.304346084594727,20.01371955871582
174,0.9486833413441976,0.936,-10.37868595123291,20.09125518798828
175,0.9486833413441976,0.92,-10.460927963256836,20.1699161529541
176,0.9486833413441976,0.98,-10.550233840942383,20.251121520996094
177,0.9486833413441976,0.968,-10.619817733764648,20.32954978942871
178,0.9486833413441976,0.912,-10.69107723236084,20.40626335144043
179,0.9486833413441976,0.94,-10.781405448913574,20.48623275756836
180,0.9486833413441976,0.944,-10.86459732055664,20.566972732543945
181,0.9486833413441976,0.984,-10.947074890136719,20.648128509521484
182,0.9486833413441976,0.92,-11.015124320983887,20.726150512695312
183,0.9486833413441976,0.972,-11.103792190551758,20.806718826293945
184,0.9486833413441976,0.936,-11.17570686340332,20.885217666625977
185,0.9486833413441976,0.98,-11.25891399383545,20.964841842651367
186,0.9486833413441976,0.924,-11.326916694641113,21.041688919067383
187,0.9486833413441976,0.928,-11.412923812866211,21.120725631713867
188,0.9486833413441976,0.964,-11.499637603759766,21.20159912109375
189,0.9486833413441976,0.972,-11.57482624053955,21.281112670898438
190,0.9486833413441976,0.928,-11.645687103271484,21.358558654785156
191,0.9486833413441976,0.928,-11.730809211730957,21.43783950805664
192,0.9486833413441976,0.956,-11.817766189575195,21.51895523071289
193,0.9486833413441976,0.972,-11.896166801452637,21.599422454833984
194,0.9486833413441976,0.936,-11.967981338500977,21.677820205688477
195,0.9486833413441976,0.952,-12.051087379455566,21.75734519958496
196,0.9486833413441976,0.956,-12.12938117980957,21.836576461791992
197,0.9486833413441976,0.948,-12.205896377563477,21.915157318115234
198,0.9486833413441976,0.932,-12.2847318649292,21.993799209594727
199,0.9486833413441976,0.96,-12.369565963745117,22.073923110961914
200,0.9486833413441976,0.94,-12.445488929748535,22.15304183959961
201,0.9486833413441976,0.932,-12.527831077575684,22.23293113708496
202,0.9486833413441976,0.996,-12.613912582397461,22.314302444458008
203,0.9486833413441976,0.908,-12.677722930908203,22.391475677490234
204,0.9486833413441976,0.956,-12.769994735717773,22.472257614135742
205,0.9486833413441976,0.948,-12.848061561584473,22.55238914489746
206,0.9486833413441976,0.968,-12.928448677062988,22.632583618164062
207,0.9486833413441976,0.924,-13.00147533416748,22.7110652923584
208,0.9486833413441976,0.972,-13.089116096496582,22.791736602783203
209,0.9486833413441976,0.94,-13.161133766174316,22.870338439941406
210,0.9486833413441976,0.972,-13.242959022521973,22.9497127532959
211,0.9486833413441976,0.932,-13.313678741455078,23.02701759338379
212,0.9486833413441976,0.904,-13.397175788879395,23.105802536010742
213,0.9486833413441976,1.024,-13.492544174194336,23.18855094909668
214,0.9486833413441976,0.912,-13.547342300415039,23.264619827270508
215,0.9486833413441976,0.972,-13.637024879455566,23.343942642211914
