comparator,kill_percent,operating_conditions,configuration_condition_comparisons,post_removal_R_pta_lower,post_removal_R_median_reduction_percent,post_removal_R_ci_low,post_removal_R_ci_high,post_removal_R_abs_pta_lower,post_removal_R_abs_median_reduction_percent,post_removal_R_abs_ci_low,post_removal_R_abs_ci_high
CT,0,144,1728,1365,18.711694284308066,9.514676084770269,28.444287477381966,1450,5.439798817849379,4.2918722162121785,6.3741465815302485
LFTA,0,144,1728,1668,53.03956374331024,50.145535008633956,56.069328906245374,1428,8.75853834834511,6.994364009642254,11.7146379197452
SBTA,0,144,1728,1531,34.07485508064151,30.093017708420227,37.21050769152613,1331,4.141286874584871,2.874434742230303,4.92499070586494
SETA,0,144,1728,1436,18.852016223599954,17.671716753137268,21.371376166790117,1257,2.642606889867988,2.104622711689191,3.1963478443660063
CT,5,144,1728,1386,24.013589246393508,11.117242076304258,28.48055484472058,1471,5.620003277676677,4.359749721836678,6.801366006730991
LFTA,5,144,1728,1671,51.76847621547744,47.290990242750624,56.88217953731858,1441,8.452031099707463,6.068735731208452,12.001103322587088
SBTA,5,144,1728,1523,35.80502281563943,30.10865758338629,37.39262020338583,1350,4.594169685583132,3.2515158365390318,5.098595677232209
SETA,5,144,1728,1424,19.603567456560306,17.50456409536799,22.71401506234716,1263,2.672591909593927,2.0586731434163728,3.130001491859219
CT,10,144,1728,1428,17.512727685017744,13.643561842954377,23.44006666992447,1492,5.7637825988825275,4.636765230131045,6.831509452641854
LFTA,10,144,1728,1684,51.07939135683948,38.876304086281664,55.638857315012146,1443,8.58678333481453,6.546312796199905,11.161631293065156
SBTA,10,144,1728,1509,33.26827453759137,24.913646998630853,37.51164243562752,1347,4.712620043823954,3.729880610504077,5.361354802374219
SETA,10,144,1728,1459,18.63095109484412,16.35826366241364,22.22529412771361,1264,2.559555180463194,2.0739775085198584,2.947002878189031
CT,20,144,1728,1341,15.474585594537585,8.906215688092322,27.983045513494517,1526,4.506496585673419,3.7240687360104188,5.651562968641993
LFTA,20,144,1728,1577,46.1331412646187,34.45402431140707,49.77945108600521,1477,6.303389189814423,4.00014423010156,9.962692821581193
SBTA,20,144,1728,1414,31.371287544058674,12.294039906261617,34.12542457495804,1390,4.355398490621296,2.6834896183324073,5.212870121198759
SETA,20,144,1728,1424,19.55713462199732,10.675772210866718,20.858090632367535,1343,2.2383006658125923,1.7683721487986386,2.8724777214465425
CT,30,144,1728,1321,16.853699972161547,4.585723886799428,25.09895368610121,1571,5.330476620020406,4.0528171595117515,7.014995479913047
LFTA,30,144,1728,1558,29.715981269192824,25.485920440500003,40.13214485394739,1436,4.928869736724775,3.9363161567862575,9.009755322197787
SBTA,30,144,1728,1381,14.86609498955212,6.779828737969823,24.237601316606938,1354,4.309470499458969,2.5342739327870065,5.1635024913400045
SETA,30,144,1728,1428,14.977027641446119,6.6606959757945,18.202208913836778,1334,2.5983911694800828,1.9560583663742526,3.2092681738089492
CT,40,144,1728,1039,2.237125450721628,0.7726452082104207,3.062690033842161,1533,2.8471576301320187,2.259702547268183,3.773697730526276
LFTA,40,144,1728,1339,19.1289124934447,8.48124568611186,26.563333520827214,1360,3.060368327008936,1.693394389360714,4.1098088755131155
SBTA,40,144,1728,1185,3.053104036272577,2.573766113109566,3.5874839867063746,1309,2.080548223789211,1.4432302879401615,2.5687086876626575
SETA,40,144,1728,1392,1.8656846642176483,1.5513131804996028,2.7562823981812974,1388,1.6348224689121449,1.2051636295511177,2.25807738950963
CT,50,144,1728,883,-0.05287866802575758,-0.5107916075515972,1.1604999910288858,1560,1.829648107103496,1.4130464907041784,2.152721396281354
LFTA,50,144,1728,1217,1.0135890173924522,0.49891873925564934,11.733164556255982,1324,1.345332444683095,1.1119097517080263,2.206780693688448
SBTA,50,144,1728,1052,0.413036450855081,0.06527559210247613,2.916385780436015,1264,1.1242224688188558,0.6753390557927619,1.8267376594793105
SETA,50,144,1728,1426,1.6866672879385063,1.0601860268583785,2.435655926254823,1344,0.9288616566921593,0.6933051367210008,1.404530668314724
