comparator,kill_percent,step_ratio,effective_step_ratio,operating_conditions,configuration_condition_comparisons,post_removal_R_median_reduction_percent,post_removal_R_ci_low,post_removal_R_ci_high,post_removal_R_abs_median_reduction_percent,post_removal_R_abs_ci_low,post_removal_R_abs_ci_high
CT,0,1.5,1.5,48,576,26.609403157249375,9.844961277585353,31.781075336352252,6.916121324935368,3.349912178949194,10.071683393347936
CT,0,2.0,2.0,48,576,21.646397487345737,10.962151439751626,36.257636538866024,6.047017333957944,4.2918722162121785,8.026152754416833
CT,0,2.5,2.5,48,576,6.570434509271114,5.149150554479345,23.271485076830842,5.3820983998630805,2.277173603336963,6.017985227663953
LFTA,0,1.5,1.5,48,576,37.64543319665288,33.64765960258233,50.27859011551662,7.244998266256092,5.55779566657098,11.854940624534693
LFTA,0,2.0,2.0,48,576,60.35697565716485,49.35289400155517,68.06946557281523,7.679896293779101,2.880314320712274,10.479864017547161
LFTA,0,2.5,2.5,48,576,61.66279452162945,54.19276351948132,66.16447094279758,17.01438944402402,8.438446207811012,23.266807618422085
SBTA,0,1.5,1.5,48,576,25.60601378262031,22.97190993296565,29.76366519362997,4.502378000561544,2.41535785280087,6.382784491088852
SBTA,0,2.0,2.0,48,576,38.06445340448113,36.62106216039385,43.11123275237888,4.726526766757685,3.176196999867015,5.080455767215852
SBTA,0,2.5,2.5,48,576,37.446888612664026,34.62851309190296,43.20368170129633,3.2912587241504614,1.315480421064369,4.4710321853304205
SETA,0,1.5,1.5,48,576,17.558032451941862,14.639350292599989,21.014131982708626,2.8612359729617203,2.071634940276473,3.3993991226910603
SETA,0,2.0,2.0,48,576,22.418748557929696,18.76186360866486,26.168031213982584,3.101201398481526,2.03722418031079,4.070536707130867
SETA,0,2.5,2.5,48,576,18.219993068984795,11.4059318867576,21.61825119592722,1.7361531528069571,0.6115453190296494,3.2644804881679477
CT,5,1.5,1.4249999999999998,48,576,28.10893886752836,5.639204065447079,28.781200175778604,6.998659988039965,3.45243223713258,9.977454661244046
CT,5,2.0,1.9,48,576,25.889261783765754,13.509298392573605,37.419530068471204,6.088330343941808,4.5178577531789195,8.120418491632059
CT,5,2.5,2.375,48,576,10.374294736511125,7.38654234187652,27.539663006224124,4.345122290613881,2.4939809755048445,6.116285149244349
LFTA,5,1.5,1.4249999999999998,48,576,31.585110868120346,27.337429121816655,45.69372260195448,7.241590130431227,5.636486301517774,12.001103322587088
LFTA,5,2.0,1.9,48,576,58.514249728383064,51.18237561092655,65.92850347859604,7.053452332872623,3.1248049365961927,10.31390322438405
LFTA,5,2.5,2.375,48,576,63.25917981554165,55.002314657957534,67.40982228625916,16.818321865101943,7.914696685871082,23.309182204409872
SBTA,5,1.5,1.4249999999999998,48,576,19.217531021683392,14.706931694403208,22.71432454790946,4.5366242011787685,2.3353513626137827,6.3316525053910215
SBTA,5,2.0,1.9,48,576,37.243680691622345,36.02383988693805,38.61412746070356,4.691768240413888,3.3062770937263344,5.20700975608554
SBTA,5,2.5,2.375,48,576,39.789688504249696,36.12902078066506,43.11685542913406,3.9863537362863077,2.539827497370517,5.071307354379817
SETA,5,1.5,1.4249999999999998,48,576,15.623248383437229,13.230961106883676,19.89597347920587,2.767854177632609,1.9524562268625811,3.360804937753592
SETA,5,2.0,1.9,48,576,23.00128502699754,17.668467511711043,26.191082305535197,3.1331732545959556,2.0107600558329026,4.015173835733138
SETA,5,2.5,2.375,48,576,20.78758204759112,17.384809413676905,23.66184511707451,1.7647334593095474,0.6358872829257789,2.9618291418089804
CT,10,1.5,1.35,48,576,14.160478969727016,2.0135243762109454,19.964960868310037,7.1057048651695105,2.9514087443130386,8.85879328718346
CT,10,2.0,1.8,48,576,27.67980290873436,15.420953161357774,37.04791933506306,6.321042850637207,4.596334136118668,8.305426024573134
CT,10,2.5,2.25,48,576,16.623816076363926,12.329391379423637,33.77174856789425,5.464777424869935,3.92513744227207,6.113400559054993
LFTA,10,1.5,1.35,48,576,28.195477106332497,26.85337527162949,32.05581909275054,7.55131099861113,4.906926007214688,11.333131693362315
LFTA,10,2.0,1.8,48,576,56.31330367784731,52.92125858596234,63.20893047882322,7.033022830591715,3.4132201408202336,10.232877362632593
LFTA,10,2.5,2.25,48,576,63.787307041576284,57.6470303537762,67.09512640243699,17.718674318340202,8.51944421733668,23.1692354480458
SBTA,10,1.5,1.35,48,576,9.759737933583772,7.222981561346492,15.057212927207559,4.274463309719179,2.358025487213053,5.959613386558832
SBTA,10,2.0,1.8,48,576,36.70346814168653,30.059692043288866,38.00826753955212,4.706210009761454,3.1727165293170625,5.276184937877087
SBTA,10,2.5,2.25,48,576,39.66564585416488,38.375352035935485,44.912740264994824,4.769677103852215,3.706686083229388,5.785966115436375
SETA,10,1.5,1.35,48,576,12.983319517093499,9.531414262077531,15.222495390807975,2.3293453433721325,1.828910977235501,2.976551000162181
SETA,10,2.0,1.8,48,576,22.988276791664454,17.967262652682138,25.339603152259564,3.1584858973301158,2.0942206111250443,3.96054273322598
SETA,10,2.5,2.25,48,576,22.72545080669402,19.43114938214552,26.407863382140796,2.2845967804839997,0.6721425661397495,3.110451629167796
CT,20,1.5,1.2000000000000002,48,576,0.770944874268889,-0.47242137868610534,2.249937165679261,2.6300149442279763,2.4845165290118323,3.192149724939975
CT,20,2.0,1.6,48,576,29.196167549181823,15.172739614981346,32.944556778514254,6.754788976092593,4.399054496871917,8.819876751899386
CT,20,2.5,2.0,48,576,27.58009004593649,15.605571657541883,36.6305524288351,5.569462219312721,4.542687702929987,6.953379740819596
