kill_percent,comparator,focal_lower,total,median_reduction_percent,ci_low,ci_high
5,CT,94,144,43.57946770880371,37.448671925293866,46.04450330509698
5,LFTA,108,144,68.36383240755849,61.78050464196776,72.03864444044095
5,SBTA,101,144,51.26721099315819,43.14537938708156,55.44881829662318
5,SETA,98,144,44.890549675630034,41.39691998575351,51.034442818167335
10,CT,97,144,42.687617478734886,33.74853995439076,51.61646769617605
10,LFTA,108,144,68.69438193011524,50.435755656860024,73.75821933472837
10,SBTA,104,144,50.576522456337315,31.894149780648473,57.190752727821334
10,SETA,102,144,38.20886718057871,26.628741389190225,50.210738363191965
20,CT,98,144,45.353135447064986,4.692064310201582,60.410240579307775
20,LFTA,104,144,69.4109039568963,53.63439239952834,76.32132398422543
20,SBTA,104,144,53.03988266023592,11.884743965154165,61.01772411270423
20,SETA,104,144,43.99060933984499,4.641502611983961,50.70316181810319
30,CT,104,144,42.17055053901378,18.40776889360488,56.38329889041744
30,LFTA,114,144,55.75280602799312,26.633369969707744,64.39191397734076
30,SBTA,104,144,50.2730480957314,29.29837214383718,56.22219998936294
30,SETA,112,144,38.319002865254234,20.26893322355975,43.9790055412051
40,CT,81,144,1.8622378125892625,-0.07039301758355876,3.7435052228924293
40,LFTA,118,144,5.767446456313241,3.6147403286472035,7.2135038768492254
40,SBTA,91,144,1.0049096605211472,0.19121450440039434,3.94279409127688
40,SETA,108,144,2.2255348422187127,1.5955818480007822,3.665173385083942
50,CT,65,144,-0.09400077488228575,-0.29583161410609016,0.17676336295073813
50,LFTA,127,144,1.6748935901497397,1.3345017919861646,5.917996187908569
50,SBTA,86,144,0.11232285654446672,0.018336141728347854,0.3759363318352582
50,SETA,114,144,1.3713862226670148,1.1248622286633925,1.5956844847301532
