pop,n,step_ratio,pattern,pattern_full,rep,seed,target_path_seed,feedback_noise_seed,feedback_bias_seed
500,4,1.5,random,legacy_vector_random,0,1473904938,1473917283,785581834,1622801707
500,4,1.5,random,legacy_vector_random,1,1175855353,1175867698,204312179,163667673
500,4,1.5,random,legacy_vector_random,2,238009265,238021610,167474105,1549727866
500,4,1.5,random,legacy_vector_random,3,1213890905,1213903250,1352105933,303374907
500,4,1.5,random,legacy_vector_random,4,1015600356,1015612701,1540016429,409710493
500,4,1.5,random,legacy_vector_random,5,1761265453,1761277798,296345953,266487379
500,4,1.5,random,legacy_vector_random,6,1552613709,1552626054,965785267,890021256
500,4,1.5,random,legacy_vector_random,7,1203004843,1203017188,1062528147,540396105
500,4,1.5,random,legacy_vector_random,8,156134297,156146642,973741641,1412481520
500,4,1.5,random,legacy_vector_random,9,151695174,151707519,1730502067,499204851
500,4,1.5,random,legacy_vector_random,10,1124820308,1124832653,1232785965,1424563519
500,4,1.5,random,legacy_vector_random,11,1081681587,1081693932,1070054213,1527501187
500,4,1.5,random,legacy_vector_random,12,19956262,19968607,1197089480,308236659
500,4,1.5,random,legacy_vector_random,13,1216401984,1216414329,10710420,27269649
500,4,1.5,random,legacy_vector_random,14,563825075,563837420,1715958536,171923172
500,4,1.5,random,legacy_vector_random,15,542195256,542207601,680679191,1004564150
500,4,1.5,random,legacy_vector_random,16,573763380,573775725,1031903431,1662053750
500,4,1.5,random,legacy_vector_random,17,1777738098,1777750443,1156561309,1364626360
500,4,1.5,random,legacy_vector_random,18,881201372,881213717,435352835,541567164
500,4,1.5,random,legacy_vector_random,19,1311819017,1311831362,557056680,534704365
500,4,1.5,random,legacy_vector_random,20,1478158797,1478171142,729796382,1183286612
500,4,1.5,random,legacy_vector_random,21,1454245468,1454257813,1745832137,1137092930
500,4,1.5,random,legacy_vector_random,22,1157703247,1157715592,1072874090,839420249
500,4,1.5,random,legacy_vector_random,23,1520054064,1520066409,1632182087,751205399
500,4,1.5,random,legacy_vector_random,24,1127657125,1127669470,1702606932,178118521
500,4,1.5,random,legacy_vector_random,25,277460547,277472892,937840099,839244567
500,4,1.5,random,legacy_vector_random,26,1000419532,1000431877,526225452,1072170866
500,4,1.5,random,legacy_vector_random,27,274504454,274516799,1477541804,313157626
500,4,1.5,random,legacy_vector_random,28,1266619343,1266631688,335559449,62066845
500,4,1.5,random,legacy_vector_random,29,1252571217,1252583562,1785110789,1698425011
500,4,1.5,random,legacy_vector_random,30,433475278,433487623,867491692,345931607
500,4,1.5,random,legacy_vector_random,31,231327521,231339866,511472718,1086222067
500,4,1.5,random,legacy_vector_random,32,488989195,489001540,532303569,547273503
500,4,1.5,random,legacy_vector_random,33,1565668736,1565681081,1585907385,1029085524
500,4,1.5,random,legacy_vector_random,34,915018308,915030653,598920619,89039401
500,4,1.5,random,legacy_vector_random,35,116779271,116791616,1059902505,483264156
500,4,1.5,random,legacy_vector_random,36,241646856,241659201,653027838,112772519
500,4,1.5,random,legacy_vector_random,37,570505918,570518263,73563320,1470307122
500,4,1.5,random,legacy_vector_random,38,1319751038,1319763383,1635016387,1023955967
500,4,1.5,random,legacy_vector_random,39,1709427234,1709439579,721201954,1063110582
500,4,1.5,random,legacy_vector_random,40,1540337100,1540349445,1446908849,996222878
500,4,1.5,random,legacy_vector_random,41,730896758,730909103,1362407298,704315332
500,4,1.5,random,legacy_vector_random,42,1154255081,1154267426,1111333356,467028890
500,4,1.5,random,legacy_vector_random,43,761765990,761778335,1540628278,478746286
500,4,1.5,random,legacy_vector_random,44,870951254,870963599,414029761,10422127
500,4,1.5,random,legacy_vector_random,45,600396920,600409265,746560103,955073335
